row,values
[],0.0251984126984127
[addUnassignedFeatureToExClass],0.13480158730158728
[addUnassignedFeatureToNewClass],0.12365079365079364
[deleteEmptyClass],0.14511904761904765
[moveFeatureToExClass],0.060119047619047614
[moveFeatureToNewClass],0.036309523809523805
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.007142857142857143
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.023809523809523808
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.026785714285714284
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.019642857142857142
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.0707142857142857
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.0501984126984127
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.07698412698412697
"[removeMultiAssignment, removeMultiAssignment, removeMultiAssignment]",0.1232936507936508
"[removeMultiAssignment, removeMultiAssignment]",0.05789682539682539
[removeMultiAssignment],0.018333333333333333
