row,values
1,4.7
2,13.8
3,26.4
4,46.6
5,60.4
6,74.8
7,81.5
8,84.3
9,83.6
10,84.4
11,80.9
12,82.6
13,81.5
14,80.9
15,79.9
16,77.0
17,75.6
18,72.8
19,72.8
20,71.3
21,71.7
22,71.7
23,71.2
24,69.9
25,66.7
26,61.3
27,57.4
28,49.4
29,45.4
30,41.0
31,39.2
32,38.3
33,37.9
34,39.3
35,40.7
36,39.4
37,39.6
38,40.0
39,40.8
40,41.4
41,39.2
42,36.9
43,37.1
44,35.9
45,36.7
46,34.7
47,34.8
48,33.9
49,35.6
50,38.4
51,37.0
52,36.2
53,37.1
54,38.6
55,37.7
56,35.8
57,35.0
58,33.0
59,32.8
60,33.4
61,31.4
62,34.3
63,34.2
64,33.2
65,33.6
66,30.7
67,30.7
68,31.6
69,33.8
70,35.3
71,36.5
72,36.8
73,35.7
74,36.5
75,38.0
76,39.2
77,36.9
78,35.9
79,36.1
80,35.3
81,35.2
82,33.5
83,32.8
84,34.1
85,31.4
86,33.1
87,32.7
88,37.1
89,34.8
90,35.5
91,37.0
92,36.6
93,36.5
94,36.5
95,36.5
96,35.8
97,35.4
98,36.5
99,32.2
100,33.8
101,34.1
102,34.5
103,37.3
104,33.6
105,34.7
106,33.9
107,34.8
108,33.4
109,32.5
110,30.9
111,30.6
112,31.8
113,33.3
114,33.2
115,34.1
116,33.5
117,35.2
118,33.7
119,31.9
120,32.6
121,33.6
122,34.0
123,34.0
124,34.9
125,32.2
126,33.5
127,33.5
128,32.2
129,30.9
130,28.9
131,27.3
132,30.2
133,31.1
134,28.7
135,29.1
136,31.5
137,32.3
138,32.3
139,30.8
140,29.7
141,31.4
142,29.3
143,30.3
144,29.8
145,31.4
146,33.2
147,31.7
148,30.3
149,31.9
150,32.7
151,31.7
152,31.3
153,31.8
154,33.5
155,33.1
156,32.8
157,32.2
158,31.4
159,33.5
160,32.2
161,33.3
162,32.4
163,32.0
164,31.8
165,33.1
166,33.6
167,31.7
168,31.4
169,27.4
170,29.6
171,30.6
172,31.7
173,32.3
174,32.6
175,33.8
176,35.9
177,37.8
178,35.4
179,32.5
180,33.2
181,32.8
182,35.1
183,33.0
184,36.2
185,33.1
186,27.9
187,30.6
188,31.0
189,31.0
190,31.7
191,31.7
192,28.0
193,27.2
194,27.8
195,30.6
196,30.9
197,30.4
198,29.5
199,29.4
200,30.8
201,28.7
202,30.9
203,28.1
204,28.7
205,29.8
206,30.2
207,30.7
208,28.3
209,27.8
210,30.1
211,33.8
212,34.9
213,34.0
214,34.7
215,34.3
216,32.1
217,32.9
218,31.2
219,29.8
220,28.3
221,29.8
222,33.6
223,30.3
224,27.9
225,29.7
226,29.4
227,29.8
228,31.6
229,31.6
230,33.1
231,34.8
232,35.1
233,35.5
234,33.5
235,31.9
236,31.2
237,30.6
238,29.3
239,29.3
240,31.2
241,30.4
242,30.7
243,28.2
244,27.5
245,28.5
246,30.4
247,30.5
248,31.8
249,29.9
250,30.8
251,32.6
252,30.2
253,29.8
254,29.8
255,29.6
256,30.9
257,32.7
258,33.4
259,31.4
260,29.8
261,32.3
262,31.5
263,32.8
264,30.1
265,29.6
266,34.1
267,32.1
268,32.2
269,30.4
270,29.7
271,28.9
272,29.3
273,30.0
274,30.2
275,30.4
276,29.8
277,31.2
278,31.6
279,31.8
280,31.7
281,31.3
282,30.6
283,31.6
284,32.0
285,32.3
286,33.3
287,35.6
288,35.7
289,36.1
290,37.4
291,35.3
292,36.1
293,34.1
294,34.6
295,35.0
296,35.3
297,34.3
298,35.7
299,34.5
300,33.9
301,36.2
302,34.8
303,34.8
304,37.2
305,37.2
306,37.4
307,35.7
308,33.9
309,33.0
310,31.8
311,31.8
312,32.6
313,32.3
314,32.0
315,32.2
316,32.5
317,33.4
318,35.5
319,33.9
320,34.0
321,33.6
322,33.3
323,33.4
324,33.9
325,35.4
326,34.5
327,34.8
328,37.0
329,35.4
330,35.4
331,36.4
332,37.5
333,36.8
334,37.2
335,37.5
336,36.5
337,38.1
338,37.5
339,37.1
340,36.2
341,36.2
342,36.0
343,36.4
344,36.8
345,36.6
346,36.5
347,37.1
348,37.3
349,39.2
350,41.4
351,38.6
352,37.7
353,38.5
354,38.5
355,38.0
356,37.2
357,37.5
358,38.0
359,39.2
360,39.2
361,38.8
362,39.0
363,38.8
364,38.8
365,38.9
366,40.9
367,40.4
368,40.2
369,41.2
370,42.7
371,44.7
372,40.9
373,40.7
374,41.4
375,41.3
376,41.7
377,40.7
378,40.2
379,40.5
380,40.6
381,41.7
382,41.9
383,43.0
384,43.5
385,42.7
386,42.8
387,43.5
388,44.3
389,44.5
390,44.6
391,44.6
392,44.3
393,45.0
394,44.5
395,43.3
396,43.5
397,43.7
398,44.2
399,43.9
400,44.2
401,43.3
402,46.0
403,46.0
404,44.2
405,43.6
406,42.8
407,42.4
408,42.7
409,43.6
410,43.6
411,43.8
412,43.7
413,44.0
414,44.1
415,44.5
416,44.9
417,44.8
418,45.2
419,45.5
420,45.0
421,44.4
422,45.0
423,45.4
424,45.3
425,45.3
426,45.5
427,45.9
428,46.0
429,45.9
430,46.0
431,46.5
432,46.6
433,46.1
434,46.5
435,46.5
436,46.3
437,46.4
438,46.5
439,48.1
440,47.9
441,47.2
442,47.2
443,47.3
444,47.7
445,48.4
446,47.2
447,47.8
448,48.0
449,48.1
450,49.5
451,49.8
452,50.6
453,51.1
454,49.7
455,49.2
456,49.2
457,49.5
458,49.5
459,49.5
460,49.2
461,49.5
462,49.2
463,48.6
464,50.3
465,50.4
466,49.1
467,50.1
468,49.6
469,49.0
470,48.8
471,48.6
472,48.9
473,49.2
474,50.3
475,49.7
476,50.2
477,50.3
478,50.2
479,50.2
480,50.3
481,50.4
482,50.3
483,50.5
484,50.1
485,50.7
486,51.7
487,51.4
488,51.3
489,51.4
490,51.5
491,51.6
492,51.8
493,51.6
494,52.1
495,52.7
496,53.4
497,52.7
498,51.9
499,51.6
500,51.6
501,52.2
502,52.6
503,51.3
504,50.9
505,51.2
506,51.2
507,51.3
508,50.6
509,49.8
510,49.9
511,49.4
512,49.1
513,50.1
514,49.8
515,49.8
516,50.1
517,49.6
518,50.1
519,49.7
520,49.0
521,49.3
522,49.1
523,48.7
524,48.3
525,48.0
526,47.9
527,48.1
528,48.4
529,48.7
530,49.2
531,49.5
532,49.4
533,49.9
534,50.3
535,50.6
536,51.0
537,50.9
538,50.7
539,51.1
540,51.3
541,51.2
542,51.0
543,51.6
544,51.3
545,51.4
546,52.3
547,51.3
548,51.1
549,51.7
550,51.9
551,52.2
552,53.0
553,53.2
554,53.8
555,54.1
556,54.6
557,54.2
558,54.6
559,54.7
560,54.4
561,54.5
562,55.6
563,54.9
564,54.8
565,54.7
566,54.9
567,55.3
568,55.3
569,54.9
570,55.0
571,55.2
572,54.4
573,55.0
574,55.2
575,55.1
576,55.1
577,55.3
578,54.7
579,54.8
580,54.7
581,55.0
582,54.8
583,55.4
584,56.1
585,56.3
586,56.1
587,56.2
588,56.4
589,57.5
590,57.5
591,57.5
592,56.7
593,55.8
594,55.4
595,55.3
596,55.9
597,56.1
598,56.5
599,56.7
600,56.9
601,56.9
602,57.9
603,57.7
604,57.4
605,58.1
606,58.1
607,58.2
608,57.5
609,57.5
610,57.5
611,57.4
612,57.5
613,57.3
614,57.4
615,57.5
616,57.5
617,57.8
618,57.9
619,58.1
620,58.1
621,57.9
622,57.8
623,58.0
624,58.2
625,58.5
626,58.8
627,59.1
628,59.3
629,59.6
630,60.0
631,59.7
632,59.7
633,59.8
634,59.4
635,60.2
636,59.3
637,59.4
638,59.8
639,60.7
640,60.7
641,60.2
642,60.1
643,60.2
644,60.3
645,60.3
646,60.6
647,60.4
648,60.2
649,60.2
650,60.1
651,60.2
652,59.9
653,60.3
654,60.1
655,59.9
656,60.1
657,60.2
658,60.1
659,60.2
660,60.0
661,59.5
662,59.1
663,58.9
664,58.9
665,59.0
666,59.4
667,60.0
668,59.3
669,59.3
670,60.1
671,60.3
672,59.2
673,58.6
674,58.6
675,58.8
676,58.9
677,59.0
678,59.0
679,59.1
680,58.4
681,58.3
682,58.6
683,58.8
684,58.9
685,59.2
686,58.8
687,59.1
688,59.8
689,59.9
690,60.6
691,60.9
692,61.2
693,61.5
694,61.8
695,61.7
696,61.7
697,61.8
698,61.7
699,61.8
700,61.6
701,62.2
702,62.5
703,62.5
704,62.6
705,62.7
706,62.7
707,63.0
708,63.1
709,62.4
710,62.2
