row,values
1,0.0
2,0.004
3,0.031
4,0.112
5,0.248
6,0.487
7,0.789
8,1.2
9,1.669
10,2.13
11,2.6109999999999998
12,3.044
13,3.398
14,3.705
15,3.961
16,4.058
17,4.265
18,4.375
19,4.445
20,4.601
21,4.636
22,4.676
23,4.733
24,4.8
25,4.874
26,4.865
27,4.894
28,4.894
29,4.862
30,4.868
31,4.931
32,4.917
33,4.932
34,4.907
35,4.873
36,4.8870000000000005
37,4.861
38,4.882
39,4.894
40,4.883
41,4.845
42,4.818
43,4.83
44,4.801
45,4.771
46,4.726
47,4.7059999999999995
48,4.672
49,4.686
50,4.689
51,4.656
52,4.66
53,4.697
54,4.665
55,4.678
56,4.663
57,4.667
58,4.664
59,4.689
60,4.644
61,4.628
62,4.624
63,4.629
64,4.589
65,4.566
66,4.554
67,4.542
68,4.555
69,4.524
70,4.504
71,4.5
72,4.503
73,4.505
74,4.472
75,4.473
76,4.475
77,4.474
78,4.469
79,4.445
80,4.448
81,4.44
82,4.426
83,4.423
84,4.409
85,4.388
86,4.38
87,4.39
88,4.405
89,4.416
90,4.415
91,4.396
92,4.396
93,4.381
94,4.376
95,4.366
96,4.35
97,4.336
98,4.337
99,4.32
100,4.29
101,4.292
102,4.27
103,4.259
104,4.2509999999999994
105,4.258
106,4.246
107,4.2540000000000004
108,4.255
109,4.226
110,4.243
111,4.2299999999999995
112,4.237
113,4.223
114,4.219
115,4.227
116,4.209
117,4.193
118,4.164
119,4.161
120,4.143
121,4.136
122,4.133
123,4.133
124,4.133
125,4.118
126,4.13
127,4.131
128,4.13
129,4.131
130,4.127
131,4.12
132,4.109
133,4.092
134,4.092
135,4.088
136,4.093
137,4.073
138,4.063
139,4.0520000000000005
140,4.051
141,4.053
142,4.03
143,4.025
144,4.019
145,4.01
146,4.001
147,3.999
148,4.007
149,4.001
150,3.999
151,3.987
152,3.985
153,3.989
154,3.985
155,3.9899999999999998
156,3.98
157,3.9739999999999998
158,3.979
159,3.979
160,3.984
161,3.987
162,3.971
163,3.99
164,3.984
165,3.976
166,3.983
167,3.975
168,3.957
169,3.962
170,3.951
171,3.949
172,3.927
173,3.919
174,3.931
175,3.917
176,3.921
177,3.925
178,3.929
179,3.925
180,3.919
181,3.911
182,3.909
183,3.9
184,3.901
185,3.912
186,3.899
187,3.902
188,3.906
189,3.896
190,3.887
191,3.873
192,3.882
193,3.879
194,3.875
195,3.876
196,3.876
197,3.878
198,3.872
199,3.863
200,3.866
201,3.868
202,3.8609999999999998
203,3.859
204,3.867
205,3.875
206,3.874
207,3.872
208,3.866
209,3.869
210,3.868
211,3.864
212,3.85
213,3.848
214,3.854
215,3.857
216,3.8529999999999998
217,3.849
218,3.845
219,3.851
220,3.85
221,3.835
222,3.834
223,3.836
224,3.828
225,3.825
226,3.825
227,3.818
228,3.816
229,3.81
230,3.811
231,3.807
232,3.811
233,3.808
234,3.815
235,3.816
236,3.807
237,3.803
238,3.793
239,3.788
240,3.791
241,3.784
242,3.787
243,3.791
244,3.7880000000000003
245,3.79
246,3.7920000000000003
247,3.791
248,3.786
249,3.783
250,3.773
251,3.773
252,3.769
253,3.766
254,3.752
255,3.746
256,3.75
257,3.749
258,3.748
259,3.749
260,3.752
261,3.754
262,3.754
263,3.756
264,3.754
265,3.75
266,3.75
267,3.75
268,3.743
269,3.746
270,3.751
271,3.754
272,3.7560000000000002
273,3.757
274,3.753
275,3.7439999999999998
276,3.748
277,3.75
278,3.7439999999999998
279,3.743
280,3.745
281,3.7359999999999998
282,3.7359999999999998
283,3.738
284,3.729
285,3.72
286,3.721
287,3.716
288,3.716
289,3.713
290,3.707
291,3.704
292,3.699
293,3.692
294,3.69
295,3.682
296,3.675
297,3.673
298,3.673
299,3.673
300,3.667
301,3.67
302,3.662
303,3.667
304,3.662
305,3.658
306,3.658
307,3.658
308,3.658
309,3.654
310,3.65
311,3.649
312,3.6390000000000002
313,3.641
314,3.642
315,3.646
316,3.644
317,3.644
318,3.642
319,3.642
320,3.64
321,3.64
322,3.642
323,3.644
324,3.649
325,3.651
326,3.651
327,3.65
328,3.651
329,3.655
330,3.654
331,3.662
332,3.66
333,3.659
334,3.659
335,3.659
336,3.66
337,3.66
338,3.66
339,3.663
340,3.662
341,3.662
342,3.662
343,3.662
344,3.663
345,3.664
346,3.663
347,3.665
348,3.662
349,3.665
350,3.664
351,3.659
352,3.659
353,3.663
354,3.663
355,3.67
356,3.67
357,3.666
358,3.664
359,3.662
360,3.66
361,3.661
362,3.664
363,3.662
364,3.654
365,3.654
366,3.655
367,3.65
368,3.65
369,3.645
370,3.65
371,3.646
372,3.6470000000000002
373,3.6470000000000002
374,3.646
375,3.646
376,3.646
377,3.638
378,3.638
379,3.6310000000000002
380,3.6310000000000002
381,3.628
382,3.624
383,3.625
384,3.625
385,3.625
386,3.625
387,3.625
388,3.623
389,3.623
390,3.621
391,3.621
392,3.621
393,3.62
394,3.62
395,3.62
396,3.62
397,3.6189999999999998
398,3.6189999999999998
399,3.623
400,3.623
401,3.62
402,3.62
403,3.616
404,3.617
405,3.62
