row,values
1,4.5
2,12.7
3,21.7
4,38.3
5,56.8
6,77.7
7,87.5
8,92.9
9,95.9
10,97.4
11,97.6
12,98.4
13,98.4
14,98.4
15,99.3
16,99.2
17,99.1
18,99.0
19,98.8
20,99.0
21,99.0
22,99.0
23,99.1
24,99.1
25,99.3
26,98.8
27,98.6
28,98.8
29,98.8
30,98.9
31,98.9
32,99.0
33,98.9
34,99.2
35,98.8
36,98.9
37,98.5
38,98.3
39,98.7
40,98.8
41,98.8
42,98.6
43,98.8
44,98.8
45,98.4
46,98.6
47,98.8
48,98.5
49,98.5
50,98.7
51,98.6
52,98.7
53,98.9
54,98.4
55,98.0
56,98.0
57,97.9
58,97.9
59,97.9
60,97.8
61,98.1
62,97.7
63,97.7
64,97.7
65,97.9
66,98.1
67,98.2
68,97.8
69,98.1
70,98.0
71,97.7
72,97.8
73,97.6
74,97.9
75,97.8
76,97.7
77,97.8
78,97.7
79,97.9
80,98.2
81,98.0
82,97.8
83,97.8
84,98.0
85,97.9
86,98.2
87,98.1
88,98.2
89,98.3
90,98.2
91,98.1
92,98.0
93,97.9
94,97.9
95,97.8
96,98.0
97,98.2
98,98.0
99,98.0
100,98.1
101,97.8
102,98.1
103,98.0
104,98.0
105,98.1
106,98.0
107,98.0
108,98.0
109,98.1
110,97.9
111,97.9
112,97.8
113,97.9
114,97.9
115,97.8
116,97.7
117,97.7
118,97.7
119,97.6
120,97.7
121,97.6
122,97.8
123,97.8
124,97.8
125,98.0
126,97.8
127,98.0
128,98.1
129,97.8
130,97.7
131,97.7
132,97.7
133,97.5
134,97.4
135,97.6
136,97.7
137,97.8
138,97.5
139,97.2
140,97.5
141,97.8
142,97.5
143,97.6
144,97.5
145,97.6
146,97.4
147,97.2
148,97.4
149,97.2
150,96.7
151,96.7
152,96.5
153,96.4
154,96.4
155,96.4
156,96.2
157,96.1
158,96.2
159,96.1
160,96.3
161,96.3
162,96.3
163,96.2
164,96.2
165,96.4
166,96.3
167,96.2
168,96.1
169,96.4
170,96.6
171,96.9
172,96.8
173,96.8
174,96.8
175,96.8
176,96.8
177,97.0
178,97.0
179,97.1
180,97.1
181,97.2
182,96.8
183,96.5
184,96.6
185,96.6
186,96.8
187,96.7
188,96.7
189,96.6
190,96.7
191,96.5
192,96.5
193,96.6
194,96.5
195,96.3
196,96.4
197,96.4
198,96.4
199,96.4
200,96.3
201,96.3
202,96.2
203,96.3
204,96.2
205,96.3
206,96.4
207,96.4
208,96.3
209,96.2
210,96.1
211,96.1
212,96.1
213,96.0
214,96.1
215,96.1
216,96.0
217,96.0
218,96.1
219,96.1
220,96.2
221,96.3
222,96.2
223,96.1
224,96.1
225,96.1
226,96.4
227,96.3
228,96.3
229,96.4
230,96.4
231,96.3
232,96.2
233,96.2
234,96.4
235,96.5
236,96.5
237,96.5
238,96.5
239,96.5
240,96.5
241,96.5
242,96.6
243,96.7
244,96.7
245,96.6
246,96.6
247,96.6
248,96.6
249,96.5
250,96.5
251,96.5
252,96.5
253,96.6
254,96.6
255,96.6
256,96.7
257,96.7
258,96.7
259,96.7
260,96.7
261,96.7
262,96.7
263,96.7
264,96.7
265,96.7
266,96.6
267,96.6
268,96.6
269,96.7
270,96.7
271,96.6
272,96.6
273,96.7
274,96.7
275,96.5
276,96.5
277,96.5
278,96.5
279,96.5
280,96.4
281,96.4
282,96.5
283,96.5
284,96.5
285,96.5
286,96.6
287,96.6
288,96.6
289,96.6
290,96.6
291,96.6
292,96.8
293,96.9
294,96.9
295,96.9
296,96.9
297,96.9
298,96.8
299,96.6
300,96.6
301,96.6
302,96.6
303,96.6
304,96.6
305,96.6
306,96.6
307,96.6
308,96.6
309,96.6
310,96.6
311,96.6
312,96.6
313,96.7
314,96.7
315,96.7
316,96.7
317,96.6
318,96.6
319,96.5
320,96.5
321,96.4
322,96.4
323,96.4
324,96.5
325,96.5
326,96.5
327,96.4
328,96.4
329,96.4
330,96.4
331,96.4
332,96.4
333,96.4
334,96.4
335,96.4
336,96.4
337,96.3
338,96.3
339,96.3
340,96.3
341,96.3
342,96.3
343,96.3
344,96.3
345,96.3
346,96.3
347,96.3
348,96.3
349,96.3
350,96.3
351,96.3
352,96.3
353,96.3
354,96.3
355,96.3
356,96.3
357,96.3
358,96.3
359,96.3
360,96.3
361,96.3
362,96.3
363,96.3
364,96.3
365,96.3
366,96.3
367,96.3
368,96.3
369,96.3
370,96.3
371,96.3
372,96.3
373,96.3
374,96.3
375,96.3
376,96.3
377,96.3
378,96.3
379,96.3
380,96.2
381,96.2
382,96.2
383,96.2
384,96.2
385,96.2
386,96.2
387,96.2
388,96.2
389,96.2
390,96.2
391,96.2
392,96.2
393,96.2
394,96.2
395,96.2
396,96.2
397,96.2
398,96.2
399,96.2
400,96.2
401,96.2
402,96.2
403,96.2
404,96.1
405,96.1
406,96.2
407,96.2
408,96.2
409,96.2
410,96.2
411,96.2
412,96.2
413,96.2
414,96.2
415,96.2
416,96.2
417,96.2
418,96.2
419,96.2
420,96.2
421,96.2
422,96.2
423,96.2
424,96.2
425,96.2
426,96.2
427,96.2
428,96.2
429,96.2
430,96.2
431,96.2
432,96.2
433,96.2
434,96.3
435,96.3
436,96.3
437,96.3
438,96.3
439,96.3
440,96.3
441,96.3
442,96.3
443,96.3
444,96.3
445,96.3
446,96.3
447,96.3
448,96.3
449,96.3
450,96.3
451,96.3
452,96.3
453,96.3
454,96.3
455,96.3
456,96.3
457,96.3
458,96.3
459,96.3
460,96.3
461,96.3
462,96.3
463,96.3
464,96.3
