tools (comparison order: row x column),M100-C000_CRA_C,M100-C100_CRA_C,M100-C100-R_CRA_C,M100-C010-R_CRA_C,M100-C010_CRA_C,M090-C010-R_CRA_C,M100-C020-R_CRA_C,M100-C040-R_CRA_C,M100-C060-R_CRA_C,M100-C080-R_CRA_C
M100-C000_CRA_C P Value,1.0,1.5705228423079642E-4,1.5705228423079642E-4,0.08209870865427438,0.3257513544787165,2.8511808363163027E-4,0.9397429895770734,0.7623688184698398,0.008150971593502754,2.8511808363163027E-4
M100-C000_CRA_C Cohen D,0.0,Large,Large,Large,Small,Large,0.06668180197584483,0.09728814060186615,Large,Large
M100-C000_CRA_C Cliff's delta,0.0,1.0,1.0,-0.46,0.26,0.96,-0.02,0.08,0.7,0.96
M100-C100_CRA_C P Value,1.5705228423079642E-4,1.0,6.69729449021883E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
M100-C100_CRA_C Cohen D,Large,NaN,Large,Large,Large,Large,Large,Large,Large,Large
M100-C100_CRA_C Cliff's delta,-1.0,0.0,-0.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
M100-C100-R_CRA_C P Value,1.5705228423079642E-4,6.69729449021883E-4,1.0,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4
M100-C100-R_CRA_C Cohen D,Large,Large,0.0,Large,Large,Large,Large,Large,Large,Large
M100-C100-R_CRA_C Cliff's delta,-1.0,0.9,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
M100-C010-R_CRA_C P Value,0.08209870865427438,1.5705228423079642E-4,1.5705228423079642E-4,1.0,0.019109922206844376,1.5705228423079642E-4,0.08209870865427438,0.05878172135535886,1.5705228423079642E-4,1.5705228423079642E-4
M100-C010-R_CRA_C Cohen D,Large,Large,Large,0.0,Large,Large,Large,Large,Large,Large
M100-C010-R_CRA_C Cliff's delta,0.46,1.0,1.0,0.0,0.62,1.0,0.46,0.5,1.0,1.0
M100-C010_CRA_C P Value,0.3257513544787165,1.5705228423079642E-4,1.5705228423079642E-4,0.019109922206844376,1.0,1.5705228423079642E-4,0.3643461266335529,0.3257513544787165,0.0493661947519326,6.69729449021883E-4
M100-C010_CRA_C Cohen D,Small,Large,Large,Large,0.0,Large,Small,0.11257949172931,Large,Large
M100-C010_CRA_C Cliff's delta,-0.26,1.0,1.0,-0.62,0.0,1.0,-0.24,-0.26,0.52,0.9
M090-C010-R_CRA_C P Value,2.8511808363163027E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.0,1.5705228423079642E-4,2.8511808363163027E-4,5.065414846923133E-4,0.1509269500667162
M090-C010-R_CRA_C Cohen D,Large,Large,Large,Large,Large,0.0,Large,Large,Large,Medium
M090-C010-R_CRA_C Cliff's delta,-0.96,1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.96,-0.92,-0.38
M100-C020-R_CRA_C P Value,0.9397429895770734,1.5705228423079642E-4,1.5705228423079642E-4,0.08209870865427438,0.3643461266335529,1.5705228423079642E-4,1.0,0.9397429895770734,0.010165201891956244,2.8511808363163027E-4
M100-C020-R_CRA_C Cohen D,0.06668180197584483,Large,Large,Large,Small,Large,0.0,0.16180636296384307,Large,Large
M100-C020-R_CRA_C Cliff's delta,0.02,1.0,1.0,-0.46,0.24,1.0,0.0,-0.02,0.68,0.96
M100-C040-R_CRA_C P Value,0.7623688184698398,1.5705228423079642E-4,1.5705228423079642E-4,0.05878172135535886,0.3257513544787165,2.8511808363163027E-4,0.9397429895770734,1.0,0.012611144099313965,3.8105845205071986E-4
M100-C040-R_CRA_C Cohen D,0.09728814060186615,Large,Large,Large,0.11257949172931,Large,0.16180636296384307,0.0,Large,Large
M100-C040-R_CRA_C Cliff's delta,-0.08,1.0,1.0,-0.5,0.26,0.96,0.02,0.0,0.66,0.94
M100-C060-R_CRA_C P Value,0.008150971593502754,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,0.0493661947519326,5.065414846923133E-4,0.010165201891956244,0.012611144099313965,1.0,0.005158957570721268
M100-C060-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Large,Large,Large,0.0,Large
M100-C060-R_CRA_C Cliff's delta,-0.7,1.0,1.0,-1.0,-0.52,0.92,-0.68,-0.66,0.0,0.74
M100-C080-R_CRA_C P Value,2.8511808363163027E-4,1.5705228423079642E-4,1.5705228423079642E-4,1.5705228423079642E-4,6.69729449021883E-4,0.1509269500667162,2.8511808363163027E-4,3.8105845205071986E-4,0.005158957570721268,1.0
M100-C080-R_CRA_C Cohen D,Large,Large,Large,Large,Large,Medium,Large,Large,Large,0.0
M100-C080-R_CRA_C Cliff's delta,-0.96,1.0,1.0,-1.0,-0.9,0.38,-0.96,-0.94,-0.74,0.0
