row,values
1,16.34
2,15.427
3,14.11
4,12.61
5,11.019
6,9.439
7,8.032
8,6.886
9,5.9830000000000005
10,5.451
11,4.904
12,4.525
13,4.171
14,3.919
15,3.672
16,3.4939999999999998
17,3.249
18,3.148
19,3.048
20,3.01
21,2.927
22,2.865
23,2.806
24,2.763
25,2.705
26,2.612
27,2.508
28,2.453
29,2.398
30,2.341
31,2.309
32,2.255
33,2.2319999999999998
34,2.223
35,2.191
36,2.183
37,2.156
38,2.134
39,2.097
40,2.061
41,2.026
42,2.009
43,1.978
44,1.94
45,1.898
46,1.869
47,1.835
48,1.829
49,1.796
50,1.777
51,1.772
52,1.7349999999999999
53,1.709
54,1.686
55,1.675
56,1.673
57,1.665
58,1.651
59,1.644
60,1.632
61,1.6219999999999999
62,1.605
63,1.6
64,1.575
65,1.558
66,1.528
67,1.504
68,1.482
69,1.458
70,1.446
71,1.443
72,1.436
73,1.419
74,1.406
75,1.398
76,1.388
77,1.38
78,1.37
79,1.359
80,1.357
81,1.342
82,1.34
83,1.336
84,1.319
85,1.305
86,1.289
87,1.28
88,1.281
89,1.273
90,1.262
91,1.253
92,1.2389999999999999
93,1.246
94,1.2469999999999999
95,1.236
96,1.234
97,1.235
98,1.232
99,1.224
100,1.207
101,1.202
102,1.195
103,1.182
104,1.151
105,1.143
106,1.141
107,1.1320000000000001
108,1.1280000000000001
109,1.127
110,1.11
111,1.104
112,1.097
113,1.079
114,1.072
115,1.067
116,1.054
117,1.04
118,1.027
119,1.018
120,1.01
121,1.0070000000000001
122,0.999
123,0.996
124,0.992
125,0.989
126,0.987
127,0.98
128,0.968
129,0.951
130,0.953
131,0.9390000000000001
132,0.933
133,0.922
134,0.915
135,0.897
136,0.895
137,0.882
138,0.881
139,0.876
140,0.877
141,0.878
142,0.873
143,0.868
144,0.872
145,0.873
146,0.864
147,0.871
148,0.87
149,0.866
150,0.858
151,0.853
152,0.843
153,0.833
154,0.828
155,0.82
156,0.822
157,0.82
158,0.818
159,0.812
160,0.8089999999999999
161,0.8029999999999999
162,0.797
163,0.789
164,0.782
165,0.786
166,0.78
167,0.784
168,0.787
169,0.789
170,0.789
171,0.78
172,0.78
173,0.778
174,0.777
175,0.777
176,0.776
177,0.771
178,0.773
179,0.771
180,0.765
181,0.758
182,0.754
183,0.754
184,0.756
185,0.755
186,0.753
187,0.753
188,0.751
189,0.749
190,0.747
191,0.739
192,0.738
193,0.738
194,0.733
195,0.733
196,0.736
197,0.737
198,0.736
199,0.739
200,0.739
201,0.738
202,0.738
203,0.739
204,0.737
205,0.727
206,0.727
207,0.724
208,0.723
209,0.718
210,0.713
211,0.7110000000000001
212,0.713
213,0.7050000000000001
214,0.706
215,0.708
216,0.7090000000000001
217,0.707
218,0.704
219,0.705
220,0.707
221,0.704
222,0.701
223,0.699
224,0.696
225,0.695
226,0.692
227,0.6910000000000001
228,0.687
229,0.687
230,0.687
231,0.682
232,0.681
233,0.682
234,0.681
235,0.678
236,0.6799999999999999
237,0.6799999999999999
238,0.676
239,0.675
240,0.668
241,0.663
242,0.662
243,0.66
244,0.663
245,0.661
246,0.661
247,0.662
248,0.662
249,0.662
250,0.659
251,0.658
252,0.656
253,0.656
254,0.658
255,0.656
256,0.655
257,0.653
258,0.655
259,0.656
260,0.656
261,0.653
262,0.652
263,0.652
264,0.652
265,0.653
266,0.653
267,0.651
268,0.651
269,0.649
270,0.646
271,0.645
272,0.642
273,0.642
274,0.643
275,0.637
276,0.637
277,0.633
278,0.632
279,0.631
280,0.63
281,0.628
282,0.624
283,0.623
284,0.621
285,0.616
286,0.615
287,0.612
288,0.612
289,0.611
290,0.609
291,0.609
292,0.605
293,0.606
294,0.605
295,0.605
296,0.602
297,0.601
298,0.601
299,0.601
300,0.599
301,0.598
302,0.6
303,0.6
304,0.598
305,0.6
306,0.599
307,0.599
308,0.599
309,0.598
310,0.598
311,0.596
312,0.594
313,0.593
314,0.592
315,0.592
316,0.59
317,0.59
318,0.585
319,0.5780000000000001
320,0.5780000000000001
321,0.5780000000000001
322,0.5730000000000001
323,0.5730000000000001
324,0.5710000000000001
325,0.569
326,0.565
327,0.5640000000000001
328,0.56
329,0.558
330,0.557
331,0.558
332,0.556
333,0.555
334,0.556
335,0.554
336,0.553
337,0.549
338,0.549
339,0.549
340,0.551
341,0.551
342,0.55
343,0.548
344,0.548
345,0.547
346,0.544
347,0.547
348,0.547
349,0.545
350,0.545
351,0.543
352,0.544
353,0.545
354,0.546
355,0.543
356,0.544
357,0.544
358,0.544
359,0.545
360,0.545
361,0.542
362,0.542
363,0.54
364,0.54
365,0.539
366,0.539
367,0.539
368,0.54
369,0.54
370,0.536
371,0.537
372,0.538
373,0.537
374,0.537
375,0.537
376,0.538
377,0.538
378,0.539
379,0.537
380,0.536
381,0.537
382,0.536
383,0.536
384,0.535
385,0.535
386,0.535
387,0.534
388,0.534
389,0.534
390,0.534
391,0.533
392,0.533
393,0.531
394,0.529
395,0.528
396,0.528
397,0.528
398,0.528
399,0.528
400,0.528
401,0.528
402,0.529
403,0.529
404,0.531
405,0.531
406,0.531
407,0.531
408,0.531
409,0.531
410,0.532
411,0.53
412,0.526
413,0.526
414,0.524
415,0.521
416,0.521
417,0.522
418,0.521
419,0.521
420,0.519
421,0.521
422,0.521
423,0.521
424,0.521
425,0.521
426,0.521
427,0.521
428,0.521
429,0.519
430,0.518
431,0.517
432,0.518
433,0.518
434,0.518
435,0.516
436,0.516
437,0.516
438,0.516
439,0.516
440,0.516
441,0.515
442,0.514
443,0.514
444,0.512
445,0.511
446,0.511
447,0.508
448,0.506
449,0.506
450,0.504
451,0.503
452,0.503
453,0.503
454,0.502
455,0.502
456,0.498
457,0.498
458,0.496
459,0.494
460,0.494
461,0.493
462,0.493
463,0.493
464,0.492
465,0.492
466,0.492
467,0.491
468,0.491
469,0.489
470,0.488
471,0.487
472,0.487
