row,values
1,4.8
2,9.2
3,17.3
4,27.9
5,39.1
6,52.8
7,65.3
8,74.6
9,77.9
10,80.7
11,83.5
12,82.7
13,84.2
14,84.8
15,84.8
16,86.4
17,86.5
18,87.5
19,86.4
20,86.7
21,85.7
22,87.5
23,87.3
24,89.2
25,87.2
26,88.9
27,88.4
28,88.7
29,87.4
30,88.9
31,88.3
32,88.6
33,85.5
34,85.8
35,81.4
36,72.1
37,66.7
38,64.8
39,61.6
40,57.0
41,52.8
42,54.1
43,55.4
44,52.9
45,55.2
46,54.4
47,54.5
48,53.1
49,50.6
50,47.9
51,50.7
52,48.7
53,53.1
54,50.4
55,51.1
56,48.9
57,49.9
58,49.2
59,47.5
60,46.5
61,43.8
62,44.9
63,44.4
64,42.5
65,46.1
66,44.7
67,45.3
68,46.3
69,47.1
70,44.9
71,48.0
72,45.4
73,45.0
74,42.6
75,45.2
76,41.3
77,40.4
78,40.2
79,43.4
80,45.9
81,41.9
82,40.3
83,39.1
84,43.4
85,42.6
86,41.7
87,43.4
88,39.8
89,39.3
90,43.2
91,39.4
92,41.3
93,40.3
94,41.4
95,45.0
96,43.5
97,40.8
98,41.1
99,40.9
100,41.7
101,40.7
102,41.4
103,40.7
104,39.7
105,38.2
106,38.4
107,37.9
108,40.9
109,40.8
110,40.1
111,39.5
112,40.3
113,41.1
114,42.3
115,42.7
116,39.9
117,40.8
118,39.9
119,43.7
120,42.3
121,42.8
122,43.7
123,46.6
124,47.5
125,48.1
126,47.5
127,47.3
128,47.9
129,48.9
130,48.7
131,49.7
132,49.3
133,50.0
134,50.4
135,50.7
136,50.5
137,51.9
138,52.0
139,51.7
140,52.8
141,53.8
142,54.5
143,54.2
144,52.7
145,54.5
146,53.6
147,53.1
148,52.9
149,54.2
150,56.1
151,56.3
152,57.2
153,56.2
154,55.9
155,55.3
156,56.1
157,55.6
158,56.1
159,56.5
160,55.2
161,54.6
162,54.8
163,54.7
164,55.3
165,54.6
166,55.3
167,55.3
168,56.3
169,55.9
170,57.0
171,57.7
172,58.2
173,58.3
174,58.5
175,59.3
176,60.0
177,60.0
178,59.5
179,59.8
180,60.3
181,59.9
182,59.4
183,58.6
184,59.5
185,58.9
186,59.3
187,59.8
188,59.6
189,60.2
190,59.9
191,59.8
192,59.7
193,59.3
194,59.4
195,59.7
196,59.9
197,60.0
198,60.8
199,60.1
200,59.8
201,60.2
202,60.0
203,60.4
204,60.6
205,59.8
206,59.3
207,59.1
208,58.9
209,58.2
210,58.6
211,60.1
212,60.2
213,60.7
214,61.4
215,60.7
216,62.0
217,63.7
218,64.0
219,64.4
220,64.6
221,64.9
222,65.0
223,66.0
224,65.3
225,65.3
226,65.1
227,66.1
228,67.1
229,66.9
230,67.6
231,67.8
232,66.8
233,67.2
234,67.2
235,66.9
236,68.0
237,67.3
238,67.9
239,68.9
240,69.4
241,69.7
242,69.9
243,70.7
244,70.3
245,70.0
246,69.7
247,69.3
248,69.1
249,69.9
250,70.6
251,70.0
252,68.9
253,69.8
254,70.1
255,70.3
256,69.7
257,70.2
258,70.1
259,70.3
260,70.8
261,70.6
262,70.5
263,71.8
264,73.0
265,74.0
266,74.7
267,74.9
268,75.4
269,75.2
270,75.1
271,75.8
272,75.7
273,75.1
274,75.8
275,75.2
276,74.6
277,74.5
278,73.8
279,73.7
280,73.7
281,73.7
282,74.5
283,74.6
284,74.7
285,75.0
286,75.0
287,75.9
288,76.4
289,77.1
290,77.8
291,78.6
292,79.0
293,78.7
294,78.5
295,78.0
296,78.0
297,78.0
298,78.7
299,78.7
300,78.4
301,78.1
302,79.1
303,79.8
304,80.0
305,80.9
306,81.2
307,81.7
308,82.2
309,82.1
310,81.6
311,81.9
312,81.8
313,82.2
314,83.1
315,83.0
316,83.6
317,83.8
318,84.1
319,84.2
320,84.3
321,84.5
322,85.8
323,86.0
324,85.9
325,85.5
326,86.1
327,86.9
328,86.7
329,86.3
330,86.1
331,85.7
332,85.6
333,85.3
