row,values
1,4.4
2,10.5
3,20.6
4,34.8
5,47.8
6,57.9
7,63.6
8,69.4
9,71.5
10,73.3
11,73.1
12,72.8
13,72.4
14,78.3
15,80.0
16,77.2
17,77.3
18,77.4
19,78.5
20,79.0
21,79.4
22,78.0
23,79.0
24,77.4
25,79.9
26,79.8
27,74.9
28,70.3
29,65.5
30,61.4
31,57.3
32,55.9
33,54.4
34,48.5
35,48.0
36,52.9
37,53.1
38,51.2
39,49.7
40,47.2
41,46.7
42,48.8
43,50.1
44,46.6
45,44.9
46,43.9
47,46.5
48,45.2
49,46.5
50,45.1
51,42.9
52,40.4
53,41.0
54,39.6
55,39.4
56,40.8
57,42.9
58,46.8
59,45.9
60,45.1
61,45.3
62,44.2
63,42.7
64,40.8
65,43.2
66,39.4
67,38.3
68,35.6
69,38.4
70,39.6
71,40.9
72,41.3
73,39.5
74,36.5
75,36.2
76,38.8
77,37.3
78,39.2
79,35.6
80,36.8
81,34.4
82,38.4
83,37.8
84,36.8
85,35.0
86,36.6
87,37.5
88,38.2
89,35.8
90,35.4
91,37.2
92,35.6
93,34.8
94,37.7
95,38.4
96,38.8
97,38.7
98,35.0
99,33.2
100,33.9
101,32.7
102,35.8
103,35.0
104,38.4
105,39.8
106,40.1
107,37.8
108,37.6
109,35.0
110,34.8
111,34.4
112,37.5
113,33.8
114,31.4
115,36.0
116,34.2
117,34.6
118,34.3
119,34.3
120,33.5
121,33.6
122,35.5
123,34.9
124,37.5
125,35.2
126,36.6
127,36.5
128,38.1
129,36.7
130,37.5
131,40.4
132,39.1
133,39.3
134,39.7
135,40.4
136,41.6
137,42.2
138,43.7
139,43.8
140,41.4
141,41.4
142,43.8
143,42.6
144,40.8
145,40.7
146,42.5
147,42.7
148,42.7
149,41.8
150,43.2
151,43.0
152,45.4
153,45.2
154,44.8
155,44.8
156,45.2
157,44.2
158,44.5
159,45.4
160,45.1
161,44.9
162,44.6
163,45.2
164,45.6
165,46.5
166,47.5
167,48.8
168,49.7
169,48.5
170,50.1
171,48.4
172,48.4
173,48.7
174,49.1
175,50.8
176,50.3
177,50.2
178,50.1
179,50.1
180,50.3
181,49.4
182,50.5
183,51.6
184,52.7
185,52.1
186,51.9
187,51.5
188,50.9
189,51.0
190,53.4
191,52.2
192,52.4
193,53.1
194,52.7
195,52.4
196,52.4
197,52.7
198,53.2
199,53.6
200,53.9
201,52.7
202,52.0
203,52.6
204,52.0
205,52.7
206,53.0
207,52.3
208,53.0
209,55.4
210,54.7
211,55.9
212,55.6
213,54.7
214,54.9
215,55.4
216,55.9
217,56.2
218,55.6
219,55.7
220,56.1
221,56.4
222,57.3
223,58.6
224,57.5
225,57.6
226,58.2
227,58.7
228,58.7
229,58.9
230,59.7
231,58.0
232,57.3
233,57.9
234,57.7
235,58.7
236,57.6
237,57.5
238,57.3
239,58.1
240,57.5
241,58.0
242,59.4
243,58.2
244,58.3
245,58.1
246,59.5
247,60.1
248,59.9
249,60.3
250,60.4
251,60.2
252,60.7
253,60.4
254,61.4
255,61.1
256,61.5
257,62.3
258,62.6
259,62.8
260,62.1
261,61.5
262,62.2
263,62.1
264,62.3
265,61.9
266,62.1
267,62.0
268,62.5
269,61.1
270,61.5
271,61.8
272,62.2
273,63.5
274,63.5
275,63.1
276,63.9
277,64.4
278,63.6
279,63.7
280,64.7
281,64.4
282,64.9
283,65.0
284,65.2
285,65.7
286,64.7
287,65.2
288,65.5
289,66.1
290,66.3
291,65.5
292,64.9
293,65.4
294,65.9
295,67.1
296,66.7
297,67.2
298,66.5
299,66.8
300,67.1
301,67.3
302,67.1
303,67.7
304,68.7
305,69.3
306,69.5
307,69.1
308,68.7
309,68.1
310,69.3
311,69.2
312,68.3
313,68.5
314,68.3
315,69.0
316,69.4
317,68.2
318,68.9
319,69.4
320,69.8
321,69.8
322,69.7
323,69.2
324,68.6
325,68.8
326,68.6
327,69.2
328,69.8
329,69.7
330,69.8
331,70.3
332,70.3
333,70.6
334,70.9
335,71.2
336,71.4
337,71.3
338,71.2
339,71.4
340,71.7
341,72.2
342,72.9
343,72.9
344,72.6
345,72.9
346,73.5
347,73.5
348,73.4
349,73.8
350,74.3
351,73.7
352,72.9
353,73.5
354,73.9
355,74.1
356,74.0
357,74.3
358,74.3
359,73.9
360,73.4
361,73.7
362,73.7
363,74.1
364,74.3
365,74.8
366,74.9
367,74.7
368,74.5
369,74.4
370,74.7
371,74.5
372,74.9
373,74.9
374,74.2
375,74.0
376,73.8
377,73.6
378,73.6
379,74.0
380,74.3
381,74.5
382,74.4
383,73.2
384,73.6
385,74.2
386,74.5
387,75.0
388,74.6
389,75.0
390,74.7
391,75.1
392,76.1
393,76.9
394,78.0
395,78.0
396,78.2
397,78.5
398,78.3
399,78.8
400,78.0
401,78.1
402,78.4
403,78.0
404,77.9
405,78.6
406,78.1
407,77.8
408,78.2
409,78.3
410,78.3
411,78.5
412,79.1
413,78.8
414,79.8
415,79.4
416,79.1
417,79.5
418,79.3
419,79.3
420,79.4
421,79.4
422,79.9
423,79.9
424,80.7
425,81.0
426,81.9
427,82.0
428,81.8
429,83.1
430,83.4
431,83.7
432,84.0
433,84.2
434,84.1
435,83.9
436,83.9
437,82.9
438,82.5
439,82.3
440,82.5
441,82.9
442,82.7
443,82.7
444,82.9
445,82.5
446,83.0
447,82.9
448,82.8
449,83.1
450,82.9
451,82.8
452,83.7
453,83.4
454,84.1
455,84.1
456,85.0
457,84.7
458,84.8
459,84.8
460,85.5
461,85.1
462,85.0
463,85.7
464,85.8
465,86.1
466,86.4
467,86.4
468,86.2
469,86.4
470,86.5
471,87.2
472,88.1
473,88.0
474,88.2
475,88.7
476,88.6
477,88.8
478,89.2
479,88.4
480,88.2
481,88.1
482,88.4
483,88.7
484,88.6
485,88.6
486,88.2
487,87.4
488,87.4
489,87.5
490,87.6
491,87.7
492,87.9
493,87.8
494,88.2
495,88.0
496,88.1
497,88.3
498,88.5
499,88.5
500,88.7
501,88.3
502,87.7
503,87.5
504,88.0
505,88.1
506,87.7
507,87.8
508,87.9
509,87.9
510,87.5
511,87.8
512,88.5
513,88.2
514,88.4
515,88.7
516,88.4
517,88.7
518,88.4
519,87.8
520,87.9
521,87.7
522,88.0
523,88.0
524,87.3
525,87.1
526,87.4
527,87.5
528,88.0
529,88.1
530,88.1
531,88.4
532,88.2
533,88.9
534,89.7
535,89.9
536,89.8
537,90.0
538,90.0
539,90.4
540,91.0
541,90.8
542,90.7
543,90.3
544,90.1
545,90.1
546,89.9
547,90.2
548,90.3
549,90.7
550,91.0
551,90.8
552,91.0
553,91.1
554,91.2
555,91.1
556,91.6
557,91.4
558,91.1
559,91.2
560,91.1
561,91.4
562,91.2
563,91.4
564,91.5
565,91.7
566,91.8
567,92.2
568,92.2
569,92.0
570,92.3
571,91.9
572,92.0
573,92.6
574,92.6
575,92.8
576,93.1
577,93.0
578,93.2
579,93.5
580,94.0
581,94.0
582,94.0
583,94.2
584,94.3
585,94.3
586,94.4
587,94.4
588,94.6
589,94.5
590,94.3
591,94.3
592,94.2
593,94.4
594,94.3
595,94.7
596,94.7
597,94.5
598,94.1
599,94.0
600,93.9
601,93.5
602,93.6
603,93.7
604,93.7
605,93.9
606,93.8
607,93.7
608,93.9
609,93.9
610,94.0
611,94.5
612,94.3
613,94.3
614,93.9
615,94.0
616,94.0
617,94.1
618,94.1
619,94.1
620,93.4
621,93.6
622,93.9
623,93.9
624,93.8
625,94.1
626,93.1
627,93.4
