row,values
1,33.358
2,32.406
3,31.041
4,29.451
5,27.59
6,25.604
7,23.56
8,21.57
9,19.711
10,18.079
11,16.49
12,15.223
13,14.116
14,13.209
15,12.492
16,12.014
17,11.429
18,10.926
19,10.56
20,10.124
21,9.837
22,9.603
23,9.337
24,9.093
25,8.845
26,8.722999999999999
27,8.542
28,8.408
29,8.306
30,8.164
31,7.962
32,7.847
33,7.716
34,7.664
35,7.614
36,7.499
37,7.408
38,7.297
39,7.197
40,7.14
41,7.093
42,7.062
43,6.956
44,6.912
45,6.884
46,6.874
47,6.855
48,6.823
49,6.754
50,6.69
51,6.658
52,6.607
53,6.523
54,6.5
55,6.44
56,6.4030000000000005
57,6.327
58,6.283
59,6.221
60,6.211
61,6.175
62,6.131
63,6.094
64,6.098
65,6.085
66,6.069
67,6.054
68,5.996
69,6.002
70,5.974
71,5.942
72,5.917
73,5.874
74,5.858
75,5.822
76,5.789
77,5.755
78,5.734
79,5.713
80,5.664
81,5.629
82,5.619
83,5.597
84,5.569
85,5.565
86,5.562
87,5.5169999999999995
88,5.473
89,5.434
90,5.405
91,5.4030000000000005
92,5.373
93,5.366
94,5.346
95,5.324
96,5.322
97,5.309
98,5.288
99,5.293
100,5.295
101,5.271
102,5.265
103,5.26
104,5.247
105,5.208
106,5.194
107,5.181
108,5.166
109,5.176
110,5.134
111,5.1209999999999996
112,5.093
113,5.089
114,5.072
115,5.051
116,5.05
117,5.053
118,5.056
119,5.036
120,5.032
121,5.026
122,5.019
123,5.008
124,4.98
125,4.977
126,4.944
127,4.921
128,4.912
129,4.885
130,4.879
131,4.867
132,4.857
133,4.866
134,4.854
135,4.848
136,4.829
137,4.822
138,4.808
139,4.798
140,4.781
141,4.766
142,4.784
143,4.776
144,4.773
145,4.766
146,4.756
147,4.743
148,4.72
149,4.718999999999999
150,4.7059999999999995
151,4.709
152,4.695
153,4.687
154,4.684
155,4.666
156,4.669
157,4.664
158,4.638
159,4.631
160,4.611
161,4.605
162,4.615
163,4.584
164,4.563
165,4.5440000000000005
166,4.532
167,4.524
168,4.5329999999999995
169,4.519
170,4.522
171,4.521
172,4.52
173,4.525
174,4.511
175,4.51
176,4.5
177,4.486
178,4.467
179,4.466
180,4.458
181,4.457
182,4.443
183,4.448
184,4.447
185,4.433
186,4.437
187,4.426
188,4.421
189,4.426
190,4.415
191,4.421
192,4.406
193,4.406
194,4.405
195,4.393
196,4.392
197,4.384
198,4.386
199,4.383
200,4.37
201,4.367
202,4.37
203,4.369
204,4.347
205,4.336
206,4.337
207,4.325
208,4.325
209,4.314
210,4.314
211,4.307
212,4.312
213,4.312
214,4.3
215,4.2909999999999995
216,4.289
217,4.29
218,4.289
219,4.282
220,4.277
221,4.289
222,4.287
223,4.278
224,4.285
225,4.276
226,4.274
227,4.276
228,4.272
229,4.276
230,4.272
231,4.275
232,4.268
233,4.268
234,4.257
235,4.252
236,4.257
237,4.259
238,4.263
239,4.267
240,4.261
241,4.266
242,4.262
243,4.255
244,4.255
245,4.245
246,4.241
247,4.241
248,4.243
249,4.24
250,4.244
251,4.2379999999999995
252,4.233
253,4.226
254,4.232
255,4.235
256,4.222
257,4.222
258,4.219
259,4.216
260,4.211
261,4.206
262,4.19
263,4.187
264,4.183
265,4.183
266,4.183
267,4.183
268,4.186
269,4.176
270,4.167
271,4.159
272,4.15
273,4.142
274,4.142
275,4.145
276,4.136
277,4.13
278,4.133
279,4.131
280,4.126
281,4.129
282,4.118
283,4.114
284,4.1209999999999996
285,4.117
286,4.1129999999999995
287,4.115
288,4.111
289,4.114
290,4.117
291,4.1129999999999995
292,4.107
293,4.112
294,4.108
295,4.112
296,4.118
297,4.12
298,4.115
299,4.115
300,4.115
301,4.111
302,4.119
303,4.11
304,4.108
305,4.108
306,4.106
307,4.105
308,4.105
309,4.108
310,4.112
311,4.1129999999999995
312,4.1209999999999996
313,4.118
314,4.116
315,4.108
316,4.109
317,4.109
318,4.11
319,4.11
320,4.108
321,4.108
322,4.104
323,4.102
324,4.095
325,4.092
326,4.092
327,4.088
328,4.086
329,4.082
330,4.08
331,4.069
332,4.071
333,4.069
334,4.068
335,4.068
336,4.064
337,4.064
338,4.064
339,4.059
340,4.058
341,4.058
342,4.058
343,4.058
344,4.05
345,4.046
346,4.044
347,4.042
348,4.044
349,4.04
350,4.041
351,4.0440000000000005
352,4.0440000000000005
353,4.038
354,4.038
355,4.029
356,4.029
357,4.031
358,4.028
359,4.029
360,4.029
361,4.026
362,4.021
363,4.021
364,4.024
365,4.024
366,4.023
367,4.025
368,4.025
369,4.028
370,4.022
371,4.026
372,4.025
373,4.025
374,4.024
375,4.024
376,4.024
377,4.032
378,4.032
379,4.039
380,4.039
381,4.042
382,4.046
383,4.043
384,4.043
385,4.043
386,4.043
387,4.043
388,4.044
389,4.044
390,4.046
391,4.046
392,4.046
393,4.047
394,4.047
395,4.047
396,4.047
397,4.047
398,4.047
399,4.043
400,4.043
401,4.042
402,4.042
403,4.045
404,4.043
405,4.04
