row,values
1,22.9
2,43.9
3,70.5
4,88.2
5,96.7
6,97.9
7,98.9
8,99.3
9,99.6
10,99.7
11,99.8
12,99.9
13,99.8
14,99.7
15,99.7
16,99.6
17,99.5
18,99.5
19,99.6
20,99.7
21,99.7
22,99.7
23,99.7
24,99.7
25,99.7
26,99.7
27,99.8
28,99.8
29,99.8
30,99.7
31,99.7
32,99.7
33,99.6
34,99.6
35,99.6
36,99.6
37,99.6
38,99.6
39,99.6
40,99.7
41,99.8
42,99.8
43,99.8
44,99.8
45,99.8
46,99.8
47,99.8
48,99.7
49,99.6
50,99.6
51,99.6
52,99.7
53,99.7
54,99.7
55,99.7
56,99.8
57,99.8
58,99.8
59,99.8
60,99.8
61,99.8
62,99.8
63,99.8
64,99.8
65,99.8
66,99.8
67,99.8
68,99.8
69,99.8
70,99.8
71,99.9
72,99.9
73,99.9
74,99.9
75,99.9
76,99.8
77,99.8
78,99.8
79,99.8
80,99.8
81,99.8
82,99.8
83,99.9
84,99.9
85,99.9
86,99.9
87,99.9
88,99.9
89,99.9
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,99.9
97,99.9
98,99.9
99,99.8
100,99.7
101,99.6
102,99.6
103,99.6
104,99.5
105,99.5
106,99.5
107,99.5
108,99.5
109,99.5
110,99.4
111,99.3
112,99.3
113,99.3
114,99.3
115,99.2
116,99.1
117,99.1
118,99.1
119,99.1
120,99.1
121,99.1
122,99.1
123,99.1
124,99.1
125,99.1
126,99.0
127,99.0
128,99.0
129,99.0
130,99.0
131,99.2
132,99.2
133,99.2
134,99.2
135,99.1
136,99.1
137,99.1
138,99.1
139,99.2
140,99.2
141,99.2
142,99.2
143,99.2
144,99.1
145,99.1
146,99.1
147,99.1
148,99.0
149,99.0
150,98.9
151,98.9
152,98.9
153,98.9
154,98.9
155,98.9
156,98.9
157,98.9
158,98.8
159,98.9
160,98.9
161,98.9
162,98.8
163,98.7
164,98.7
165,98.7
166,98.7
167,98.7
168,98.7
169,98.7
170,98.7
171,98.7
172,98.7
173,98.7
174,98.7
175,98.7
176,98.9
177,98.9
178,98.9
179,98.9
180,98.9
181,98.9
182,98.9
183,98.9
184,98.9
185,98.9
186,98.9
187,98.9
188,98.9
189,98.9
190,98.9
191,98.9
192,98.7
193,98.7
194,98.7
195,98.7
196,98.7
197,98.7
198,98.7
199,98.6
200,98.5
201,98.4
202,98.3
203,98.3
204,98.3
205,98.4
206,98.4
207,98.3
208,98.3
209,98.3
210,98.4
211,98.4
212,98.4
213,98.5
214,98.4
215,98.4
216,98.3
217,98.4
218,98.4
219,98.4
220,98.4
221,98.4
222,98.3
223,98.3
224,98.3
225,98.2
226,98.2
227,98.2
228,98.2
229,98.2
230,98.2
231,98.2
232,98.2
233,98.2
234,98.2
235,98.2
236,98.2
237,98.2
238,98.2
239,98.3
240,98.3
241,98.3
242,98.2
243,98.1
244,98.0
245,97.8
246,97.9
247,97.9
248,97.9
249,97.9
250,97.9
251,97.9
252,98.0
253,98.0
254,97.9
255,97.9
256,97.9
257,97.9
258,97.9
259,97.9
260,97.8
261,97.9
262,98.0
263,98.0
264,98.0
265,98.0
266,97.9
267,97.9
268,97.9
269,97.9
270,97.9
