row,values
1,0.0
2,0.012
3,0.062
4,0.202
5,0.438
6,0.8019999999999999
7,1.222
8,1.495
9,1.7530000000000001
10,1.9
11,1.986
12,2.059
13,2.177
14,2.223
15,2.257
16,2.272
17,2.291
18,2.309
19,2.315
20,2.277
21,2.227
22,2.214
23,2.198
24,2.19
25,2.158
26,2.174
27,2.155
28,2.157
29,2.173
30,2.148
31,2.1189999999999998
32,2.096
33,2.065
34,2.027
35,1.99
36,1.976
37,1.935
38,1.929
39,1.914
40,1.908
41,1.905
42,1.885
43,1.886
44,1.881
45,1.873
46,1.863
47,1.865
48,1.869
49,1.866
50,1.854
51,1.827
52,1.809
53,1.789
54,1.792
55,1.804
56,1.81
57,1.794
58,1.791
59,1.768
60,1.758
61,1.747
62,1.736
63,1.716
64,1.698
65,1.669
66,1.664
67,1.656
68,1.652
69,1.646
70,1.638
71,1.617
72,1.593
73,1.588
74,1.572
75,1.574
76,1.558
77,1.555
78,1.553
79,1.538
80,1.545
81,1.546
82,1.545
83,1.538
84,1.541
85,1.534
86,1.512
87,1.496
88,1.483
89,1.472
90,1.471
91,1.471
92,1.463
93,1.457
94,1.452
95,1.446
96,1.443
97,1.443
98,1.426
99,1.425
100,1.431
101,1.424
102,1.424
103,1.416
104,1.417
105,1.418
106,1.412
107,1.403
108,1.388
109,1.389
110,1.379
111,1.3739999999999999
112,1.365
113,1.356
114,1.353
115,1.354
116,1.357
117,1.34
118,1.346
119,1.341
120,1.344
121,1.339
122,1.338
123,1.332
124,1.325
125,1.321
126,1.315
127,1.309
128,1.307
129,1.297
130,1.284
131,1.282
132,1.2770000000000001
133,1.266
134,1.2570000000000001
135,1.248
136,1.243
137,1.236
138,1.231
139,1.224
140,1.213
141,1.215
142,1.206
143,1.199
144,1.194
145,1.198
146,1.187
147,1.183
148,1.179
149,1.169
150,1.171
151,1.165
152,1.158
153,1.161
154,1.161
155,1.16
156,1.159
157,1.152
158,1.15
159,1.148
160,1.1420000000000001
161,1.1400000000000001
162,1.135
163,1.1300000000000001
164,1.129
165,1.121
166,1.116
167,1.111
168,1.112
169,1.115
170,1.119
171,1.113
172,1.112
173,1.109
174,1.108
175,1.1
176,1.098
177,1.094
178,1.09
179,1.086
180,1.084
181,1.081
182,1.077
183,1.077
184,1.073
185,1.067
186,1.07
187,1.067
188,1.065
189,1.06
190,1.064
191,1.051
192,1.046
193,1.04
194,1.036
195,1.032
196,1.035
197,1.034
198,1.025
199,1.022
200,1.02
201,1.017
202,1.01
203,1.009
204,1.006
205,1.003
206,1.006
207,0.997
208,0.989
209,0.991
210,0.987
211,0.987
212,0.985
213,0.982
214,0.982
215,0.98
216,0.978
217,0.974
218,0.969
