row,values
1,4.6
2,14.1
3,29.4
4,47.7
5,64.0
6,77.5
7,83.6
8,86.3
9,88.2
10,88.6
11,89.2
12,88.3
13,88.4
14,89.0
15,88.3
16,87.9
17,88.5
18,86.0
19,83.2
20,83.5
21,83.2
22,82.8
23,84.0
24,82.9
25,82.4
26,79.8
27,78.9
28,78.1
29,77.3
30,77.2
31,77.0
32,77.0
33,77.1
34,77.1
35,77.4
36,77.1
37,77.2
38,76.0
39,74.9
40,74.3
41,73.7
42,71.9
43,70.6
44,68.9
45,67.5
46,66.2
47,66.0
48,65.3
49,64.2
50,63.6
51,63.0
52,61.9
53,61.8
54,61.5
55,61.5
56,61.4
57,61.5
58,61.9
59,62.0
60,62.4
61,62.6
62,62.2
63,62.7
64,62.1
65,62.7
66,62.9
67,62.5
68,62.8
69,61.8
70,61.9
71,61.8
72,61.6
73,61.1
74,61.4
75,61.1
76,61.2
77,61.8
78,61.3
79,61.6
80,61.3
81,60.9
82,60.6
83,60.3
84,59.6
85,59.8
86,59.6
87,60.0
88,59.7
89,59.7
90,60.2
91,60.5
92,59.5
93,59.6
94,59.5
95,59.2
96,58.4
97,58.2
98,57.9
99,58.4
100,59.3
101,58.8
102,58.5
103,58.3
104,57.4
105,57.7
106,58.0
107,58.5
108,58.7
109,58.2
110,58.6
111,58.6
112,58.4
113,58.4
114,58.3
115,58.4
116,57.8
117,58.7
118,59.1
119,59.3
120,59.2
121,59.2
122,59.3
123,58.8
124,59.0
125,59.2
126,59.5
127,59.8
128,60.1
129,60.2
130,59.4
131,58.8
132,58.6
133,58.5
134,58.5
135,58.7
136,58.4
137,58.9
138,58.6
139,59.5
140,59.9
141,59.9
142,59.4
143,59.4
144,59.2
145,59.6
146,60.0
147,60.2
148,60.1
149,60.5
150,60.9
151,60.6
152,60.2
153,60.6
154,60.3
155,60.9
156,61.1
157,61.4
158,60.6
159,60.4
160,61.4
161,61.2
162,61.3
163,61.3
164,61.9
165,62.1
166,61.9
167,62.2
168,61.7
169,61.6
170,60.7
171,60.4
172,60.5
173,60.0
174,59.8
175,59.5
176,59.5
177,59.3
178,58.9
179,59.2
180,59.8
181,59.9
182,60.4
183,59.9
184,59.9
185,60.3
186,60.0
187,60.3
188,61.1
189,60.7
190,60.4
191,60.3
