row,values
1,4.8
2,10.7
3,21.2
4,33.8
5,50.2
6,62.2
7,68.8
8,74.2
9,76.7
10,78.5
11,74.9
12,76.6
13,77.2
14,75.9
15,74.6
16,75.5
17,78.5
18,76.5
19,73.8
20,75.3
21,72.4
22,73.3
23,71.9
24,70.5
25,69.6
26,65.4
27,59.4
28,56.4
29,53.6
30,50.5
31,47.3
32,44.2
33,44.6
34,45.6
35,45.0
36,45.7
37,44.4
38,43.8
39,42.8
40,43.2
41,40.8
42,41.8
43,39.7
44,41.5
45,41.9
46,40.9
47,42.8
48,41.1
49,37.7
50,39.7
51,39.1
52,40.4
53,40.3
54,40.9
55,35.6
56,37.2
57,38.9
58,43.5
59,41.8
60,37.5
61,36.6
62,37.0
63,39.5
64,41.1
65,39.3
66,35.1
67,38.3
68,38.5
69,38.8
70,42.4
71,40.7
72,36.9
73,36.8
74,35.4
75,37.5
76,37.8
77,39.2
78,37.3
79,36.6
80,35.5
81,37.4
82,33.2
83,36.7
84,37.7
85,33.1
86,35.1
87,35.6
88,37.2
89,36.1
90,38.0
91,35.8
92,30.0
93,31.8
94,33.0
95,34.4
96,35.8
97,36.5
98,35.7
99,34.5
100,35.5
101,34.2
102,29.5
103,32.0
104,31.0
105,32.4
106,30.7
107,30.2
108,33.4
109,35.0
110,36.5
111,36.2
112,36.7
113,35.7
114,31.7
115,33.1
116,30.7
117,33.3
118,31.8
119,32.1
120,32.0
121,30.5
122,30.5
123,30.6
124,31.1
125,30.4
126,32.8
127,30.0
128,30.8
129,33.9
130,32.7
131,31.3
132,31.0
133,29.8
134,29.1
135,30.0
136,29.4
137,29.6
138,31.7
139,33.6
140,33.1
141,32.7
142,36.9
143,32.7
144,31.4
145,33.1
146,33.4
147,33.5
148,35.8
149,35.7
150,35.8
151,33.7
152,36.0
153,35.7
154,35.7
155,34.2
156,34.3
157,31.8
158,31.2
159,32.7
160,37.7
161,35.5
162,34.2
163,34.8
164,36.4
165,37.3
166,37.6
167,36.6
168,36.3
169,36.8
170,37.7
171,37.0
172,36.8
173,36.4
174,36.6
175,37.5
176,38.8
177,39.5
178,38.0
179,40.2
180,40.9
181,39.7
182,40.5
183,41.9
184,43.3
185,41.6
186,41.5
187,41.6
188,42.2
189,42.9
190,43.6
191,44.5
192,44.2
193,43.4
194,44.1
195,44.1
196,43.6
197,43.5
198,45.1
199,43.9
200,43.9
201,44.8
202,45.5
203,45.9
204,45.0
205,45.8
206,45.2
207,45.9
208,45.0
209,45.4
210,44.8
211,45.5
212,45.8
213,45.7
214,45.7
215,45.1
216,44.7
217,45.2
218,45.0
219,45.1
220,45.4
221,44.9
222,44.5
223,45.9
224,46.4
225,45.8
226,45.7
227,46.0
228,45.6
229,46.2
230,46.4
231,46.2
232,46.6
233,46.6
234,46.4
235,46.4
236,46.1
237,47.0
238,46.1
239,46.2
240,46.8
241,47.3
242,48.3
243,49.0
244,48.3
245,48.3
246,48.4
247,48.1
248,48.5
249,48.1
250,48.6
251,48.6
252,48.8
253,48.8
254,48.7
255,47.9
256,47.7
257,48.1
258,48.0
259,48.1
260,48.8
261,48.8
262,48.9
263,49.2
264,49.5
265,50.4
266,48.9
267,48.8
268,48.2
269,49.1
270,49.2
271,50.1
272,50.5
273,50.7
274,51.4
275,51.4
276,51.5
277,51.4
278,52.6
279,53.7
280,53.3
281,53.5
282,54.0
283,53.7
284,53.8
285,53.4
286,53.4
287,53.5
288,54.3
289,54.7
290,54.3
291,54.6
292,54.1
293,53.8
294,53.2
295,53.2
296,53.4
297,54.3
298,54.7
299,55.7
300,56.1
301,55.8
302,55.9
303,55.7
304,56.1
305,56.0
306,56.5
307,57.0
308,57.1
309,55.4
310,55.3
311,55.3
312,55.2
313,55.2
314,56.1
315,57.4
316,57.2
317,57.0
318,57.6
319,56.9
320,57.0
321,57.8
322,58.0
323,58.1
324,58.2
325,57.7
326,56.7
327,57.7
328,57.9
329,58.3
330,57.8
331,58.4
332,59.2
333,58.4
334,57.6
335,57.4
336,56.9
337,57.1
338,57.6
339,57.8
340,57.6
341,58.3
342,58.0
343,57.8
344,56.2
345,56.6
346,57.1
347,57.7
348,56.7
349,56.4
350,56.9
351,56.8
352,57.1
353,56.0
354,56.4
