row,values
1,0.0
2,0.091
3,0.308
4,0.71
5,1.4749999999999999
6,2.297
7,3.036
8,3.665
9,4.348
10,4.657
11,5.027
12,5.173
13,5.422
14,5.466
15,5.468999999999999
16,5.584
17,5.637
18,5.5729999999999995
19,5.62
20,5.609
21,5.609999999999999
22,5.653
23,5.647
24,5.667
25,5.671
26,5.566
27,5.5360000000000005
28,5.5040000000000004
29,5.516
30,5.503
31,5.497
32,5.49
33,5.503
34,5.522
35,5.532
36,5.545
37,5.537
38,5.509
39,5.496
40,5.502
41,5.471
42,5.466
43,5.447
44,5.462
45,5.513
46,5.519
47,5.515
48,5.523
49,5.526
50,5.5360000000000005
51,5.531
52,5.508
53,5.496
54,5.483
55,5.48
56,5.471
57,5.445
58,5.441
59,5.414
60,5.4
61,5.373
62,5.369
63,5.356
64,5.325
65,5.32
66,5.322
67,5.314
68,5.314
69,5.3
70,5.289
71,5.279
72,5.2620000000000005
73,5.234
74,5.251
75,5.255
76,5.231
77,5.22
78,5.203
79,5.2
80,5.197
81,5.194
82,5.199
83,5.181
84,5.168
85,5.19
86,5.18
87,5.192
88,5.183
89,5.174
90,5.163
91,5.165
92,5.156
93,5.163
94,5.164
95,5.147
96,5.144
97,5.13
98,5.119
99,5.123
100,5.1370000000000005
101,5.124
102,5.115
103,5.109
104,5.089
105,5.083
106,5.073
107,5.04
108,5.023
109,5.015
110,5.013
111,5.006
112,5.0009999999999994
113,4.994
114,4.989
115,4.977
116,4.984
117,4.961
118,4.951
119,4.936
120,4.923
121,4.926
122,4.935
123,4.935
124,4.922
125,4.919
126,4.896
127,4.877
128,4.878
129,4.882
130,4.868
131,4.868
132,4.861
133,4.841
134,4.848
135,4.842
136,4.842
137,4.836
138,4.84
139,4.823
140,4.811
141,4.803
142,4.793
143,4.795
144,4.793
145,4.775
146,4.791
147,4.796
148,4.788
149,4.774
150,4.768
151,4.756
152,4.733
153,4.725
154,4.702999999999999
155,4.707
156,4.688
157,4.6899999999999995
158,4.688
159,4.688
160,4.695
161,4.697
162,4.707
163,4.713
164,4.716
165,4.719
166,4.713
167,4.7
168,4.704
169,4.7059999999999995
170,4.701
171,4.6899999999999995
172,4.684
173,4.67
174,4.655
175,4.659
176,4.652
177,4.647
178,4.633
179,4.618
180,4.615
181,4.6129999999999995
182,4.601
183,4.587
184,4.58
185,4.575
186,4.574
187,4.554
188,4.53
189,4.524
190,4.521
191,4.505
192,4.499
193,4.5
194,4.499
195,4.496
196,4.496
197,4.491
198,4.489
199,4.49
200,4.489
201,4.495
202,4.492
203,4.487
204,4.481
205,4.468
206,4.455
207,4.469
208,4.468
209,4.467
210,4.463
211,4.461
212,4.463
213,4.462
214,4.46
215,4.457
216,4.457
217,4.455
218,4.453
219,4.446
220,4.442
221,4.442
222,4.438
223,4.436
224,4.432
225,4.435
226,4.434
227,4.435
228,4.433
229,4.423
230,4.43
231,4.429
232,4.422
233,4.424
234,4.422
235,4.419
236,4.423
237,4.421
238,4.422
239,4.425
240,4.426
241,4.416
242,4.416
243,4.417
244,4.417
245,4.406
246,4.402
247,4.402
248,4.391
249,4.391
250,4.399
251,4.404
252,4.391
253,4.393
254,4.394
255,4.389
256,4.384
257,4.38
258,4.375
259,4.375
260,4.373
261,4.368
262,4.367
263,4.362
264,4.3629999999999995
265,4.361
266,4.3629999999999995
267,4.3709999999999996
268,4.375
269,4.365
270,4.361
271,4.359
272,4.359
273,4.36
274,4.359
275,4.365
276,4.368
277,4.37
278,4.37
279,4.372
280,4.364
281,4.365
282,4.358
283,4.354
284,4.359
285,4.362
286,4.362
287,4.361
288,4.358
289,4.366
290,4.364
291,4.367
292,4.3629999999999995
293,4.361
294,4.364
295,4.369
296,4.3709999999999996
297,4.369
298,4.375
299,4.377
300,4.377
301,4.373
302,4.378
303,4.374
304,4.3709999999999996
305,4.367
306,4.3709999999999996
307,4.368
308,4.379
309,4.38
310,4.374
311,4.374
312,4.374
313,4.374
314,4.375
315,4.366
316,4.364
317,4.3629999999999995
318,4.3629999999999995
319,4.368
320,4.3709999999999996
321,4.37
322,4.366
323,4.364
324,4.364
325,4.361
326,4.364
327,4.367
328,4.365
329,4.3629999999999995
330,4.362
331,4.362
332,4.361
333,4.365
334,4.365
335,4.365
336,4.365
337,4.365
338,4.366
339,4.3629999999999995
340,4.3629999999999995
341,4.3629999999999995
342,4.3629999999999995
343,4.3629999999999995
344,4.3629999999999995
345,4.365
346,4.362
347,4.362
348,4.361
349,4.362
350,4.357
351,4.357
352,4.357
353,4.357
354,4.357
355,4.357
356,4.351
357,4.351
358,4.35
359,4.3469999999999995
360,4.3469999999999995
361,4.3469999999999995
362,4.348
363,4.342
364,4.343
365,4.35
366,4.353
367,4.353
368,4.353
369,4.353
370,4.353
371,4.3469999999999995
372,4.349
373,4.349
374,4.349
375,4.348
376,4.348
377,4.348
378,4.348
379,4.348
380,4.345
381,4.345
382,4.345
383,4.345
384,4.346
385,4.343
386,4.343
387,4.343
388,4.3469999999999995
389,4.35
390,4.35
391,4.35
392,4.35
393,4.3469999999999995
394,4.3469999999999995
395,4.3469999999999995
396,4.346
397,4.346
398,4.35
399,4.351999999999999
400,4.351999999999999
401,4.353
402,4.356
403,4.356
404,4.356
405,4.356
406,4.356
407,4.356
408,4.356
409,4.361
410,4.361
411,4.361
412,4.361
413,4.361
414,4.358
415,4.359
416,4.359
417,4.359
418,4.356
419,4.361
420,4.361
421,4.358
422,4.358
423,4.358
424,4.361
425,4.361
426,4.361
427,4.361
428,4.361
429,4.358
430,4.358
431,4.358
432,4.358
433,4.358
434,4.358
435,4.359999999999999
436,4.359
437,4.362
438,4.362
439,4.361
440,4.361
441,4.361
442,4.361
443,4.361
444,4.361
445,4.357
446,4.357
447,4.357
448,4.351999999999999
449,4.351999999999999
450,4.351999999999999
451,4.351999999999999
452,4.351999999999999
453,4.349
454,4.349
455,4.349
456,4.348
457,4.346
458,4.346
459,4.346
460,4.346
461,4.343999999999999
462,4.34
463,4.34
464,4.34
465,4.34
466,4.34
467,4.34
468,4.34
469,4.34
470,4.34
471,4.341
472,4.341
473,4.341
474,4.341
475,4.335
476,4.334
477,4.334
478,4.334
479,4.334
480,4.333
481,4.333
482,4.334
483,4.334
484,4.334
485,4.3309999999999995
486,4.3309999999999995
487,4.3309999999999995
488,4.3309999999999995
489,4.3309999999999995
490,4.334
491,4.334
492,4.334
493,4.334
494,4.333
495,4.333
496,4.336
497,4.336
