row,values
1,0.8106577502000001
2,3.8535165800000004
3,6.3026823702
4,8.763348850300002
5,11.2530133801
6,13.799007470000001
7,16.427411590000002
8,19.0977439902
9,21.817397180100002
10,24.5757667102
11,27.370571470300003
12,30.2023374502
13,33.011756829700005
14,35.8141615001
15,38.623253539800004
16,41.4370501498
17,44.254944410300006
18,47.078605520100005
19,49.907543060100004
20,52.7383615
21,55.5803995499
22,58.417015540200005
23,61.251223550000006
24,64.04295577
25,66.84010705
26,69.6348714602
27,72.4287271801
28,75.22199168
29,78.00741824
30,80.7902328303
31,83.5806085601
32,86.37302356020001
33,89.16409253
34,91.96563495020001
35,94.75944999020001
36,97.55206795000001
37,100.34916286010001
38,103.1493374499
39,105.9506413003
40,108.74728574970001
41,111.5464054499
42,114.34608669020001
43,117.14371922980001
44,119.9390582701
45,122.74022917990001
46,125.5407937601
47,128.3381081201
48,131.1278043798
49,133.9216432101
50,136.71884446
51,139.5129078298
52,142.3071041702
53,145.09639887010002
54,147.8911670901
55,150.68860132
56,153.4868474602
57,156.28051116990002
58,159.0692191201
59,161.8700853201
60,164.6709292102
61,167.48874475000002
62,170.28432132010002
63,173.07798603010002
64,175.87988254020001
65,178.68317836030002
66,181.48869206
67,184.2872972901
68,187.09475463020001
69,189.89526077020003
70,192.69217534990003
71,195.48803214000003
72,198.27474646980002
73,201.06502005020002
74,203.85449488010002
75,206.6474921102
76,209.44393710010002
77,212.2337246099
78,215.02576169030002
79,217.81966323
80,220.60965112030001
81,223.4048957598
82,226.20083841000002
83,228.97384017000002
84,231.74396698
85,234.51470862000002
86,237.2836580301
87,240.0626728002
88,242.8343411101
89,245.6042302399
90,248.3765043802
91,251.1430816001
92,253.9104908801
93,256.67609251010003
94,259.4418612201
95,262.2090075399
96,264.9802354601
97,267.7491590101
98,270.50769681
99,273.27434669
100,276.04176995010005
101,278.8108718898
102,281.57941103
103,284.3409800602
104,287.1085835102
105,289.91049419020004
106,292.67925768000003
107,295.45128584
108,298.2211897701
109,300.98761891000004
110,303.7511002501
111,306.5188904401
112,309.2854296301
113,312.0537412801
114,314.8220560098
115,317.5888172401
116,320.3584242302
117,323.1231217301
118,325.8980281903
119,328.6765232902
120,331.4490922702
