row,values
1,33.75
2,32.644999999999996
3,31.517
4,29.959
5,28.301
6,26.453
7,24.65
8,22.782
9,21.054000000000002
10,19.438
11,18.075
12,16.819
13,15.763
14,14.74
15,14.027000000000001
16,13.387
17,12.84
18,12.256
19,11.76
20,11.427
21,11.053
22,10.678
23,10.411
24,10.112
25,9.891
26,9.674
27,9.544
28,9.308
29,9.111
30,8.977
31,8.859
32,8.714
33,8.593
34,8.458
35,8.358
36,8.209999999999999
37,8.142
38,8.056
39,7.997
40,7.917
41,7.8629999999999995
42,7.807
43,7.786
44,7.725
45,7.658
46,7.593
47,7.53
48,7.459
49,7.4
50,7.368
51,7.314
52,7.251
53,7.235
54,7.199
55,7.138
56,7.117
57,7.059
58,7.003
59,6.984
60,6.951
61,6.909
62,6.84
63,6.808
64,6.781
65,6.736
66,6.7219999999999995
67,6.712
68,6.652
69,6.625
70,6.6
71,6.542
72,6.516
73,6.477
74,6.461
75,6.444
76,6.431
77,6.434
78,6.4239999999999995
79,6.412
80,6.374
81,6.332
82,6.273
83,6.233
84,6.172000000000001
85,6.132
86,6.107
87,6.086
88,6.059
89,6.056
90,6.021
91,5.976
92,5.959
93,5.942
94,5.917
95,5.919
96,5.9110000000000005
97,5.894
98,5.888
99,5.881
100,5.883
101,5.868
102,5.84
103,5.804
104,5.799
105,5.795
106,5.764
107,5.766
108,5.739
109,5.743
110,5.737
111,5.722
112,5.720000000000001
113,5.661
114,5.616
115,5.598
116,5.604
117,5.577
118,5.574
119,5.5649999999999995
120,5.559
121,5.562
122,5.547
123,5.537
124,5.549
125,5.521
126,5.5120000000000005
127,5.505
128,5.501
129,5.501
130,5.4879999999999995
131,5.486
132,5.484
133,5.46
134,5.451
135,5.424
136,5.4350000000000005
137,5.429
138,5.416
139,5.406
140,5.389
141,5.376
142,5.362
143,5.3629999999999995
144,5.361
145,5.352
146,5.332
147,5.341
148,5.336
149,5.31
150,5.304
151,5.2940000000000005
152,5.271
153,5.267
154,5.24
155,5.229
156,5.236
157,5.219
158,5.206
159,5.19
160,5.185
161,5.17
162,5.14
163,5.128
164,5.116
165,5.096
166,5.084
167,5.07
168,5.072
169,5.066
170,5.051
171,5.054
172,5.047
173,5.042
174,5.043
175,5.036
176,5.043
177,5.03
178,5.025
179,5.011
180,5.008
181,5.011
182,4.996
183,5.01
184,5.011
185,5.011
186,5.0120000000000005
187,5.004
188,5.007
189,5.006
190,4.999
191,4.993
192,4.993
193,5.004
194,5.002
195,4.992
196,4.967
197,4.966
198,4.962
199,4.954
200,4.947
201,4.945
202,4.943
203,4.934
204,4.928
205,4.92
206,4.915
207,4.914
208,4.909
209,4.899
210,4.897
211,4.894
212,4.887
213,4.877
214,4.882
215,4.877
216,4.88
217,4.88
218,4.8790000000000004
219,4.882
220,4.883
221,4.882000000000001
222,4.884
223,4.882
224,4.883
225,4.888
226,4.889
227,4.891
228,4.884
229,4.881
230,4.882
231,4.862
232,4.858
233,4.86
234,4.863
235,4.863
236,4.855
237,4.85
238,4.835
239,4.832
240,4.83
241,4.828
242,4.826
243,4.827
244,4.825
245,4.814
246,4.811
247,4.805
248,4.798
249,4.7940000000000005
250,4.792
251,4.7860000000000005
252,4.774
253,4.7700000000000005
254,4.768
255,4.773
256,4.7700000000000005
257,4.766
258,4.75
259,4.75
260,4.743
261,4.739
262,4.734
263,4.72
264,4.716
265,4.702
266,4.698
267,4.697
268,4.687
269,4.683
270,4.681
271,4.675
272,4.675
273,4.677
274,4.682
275,4.692
276,4.678
277,4.675
278,4.666
279,4.663
280,4.653
281,4.654
282,4.658
283,4.6610000000000005
284,4.6610000000000005
285,4.665
286,4.674
287,4.682
288,4.676
289,4.676
290,4.68
291,4.694
292,4.6930000000000005
293,4.69
294,4.7010000000000005
295,4.702
296,4.704
297,4.702
298,4.701
299,4.701
300,4.698
301,4.694
302,4.683
303,4.682
304,4.679
305,4.676
306,4.671
307,4.671
308,4.666
309,4.67
310,4.675
311,4.67
312,4.6610000000000005
313,4.662
314,4.664
315,4.665
316,4.658
317,4.657
318,4.655
319,4.65
320,4.649
321,4.651
322,4.65
323,4.646
324,4.644
325,4.635
326,4.627
327,4.627
328,4.6240000000000006
329,4.617
330,4.619
331,4.614
332,4.6080000000000005
333,4.609
334,4.614
335,4.618
336,4.614
337,4.614
338,4.617
339,4.615
340,4.613
341,4.617
342,4.61
343,4.601
344,4.603
345,4.594
346,4.596
347,4.594
348,4.5920000000000005
349,4.586
350,4.586
351,4.588
352,4.583
353,4.577
354,4.582
355,4.585
356,4.589
357,4.587
358,4.586
359,4.586
360,4.586
361,4.587
362,4.585
363,4.585
364,4.588
365,4.593
366,4.595
367,4.595
368,4.595
369,4.6
370,4.599
371,4.596
372,4.592
373,4.592
374,4.593
375,4.591
376,4.586
377,4.58
378,4.569
379,4.57
380,4.57
381,4.567
382,4.567
383,4.567
384,4.564
385,4.563
386,4.563
387,4.559
388,4.559
389,4.559
390,4.559
391,4.549
392,4.549
393,4.542
394,4.542
395,4.538
396,4.54
397,4.54
398,4.535
399,4.533
400,4.5280000000000005
401,4.529
402,4.524
403,4.5200000000000005
404,4.511
405,4.51
406,4.51
407,4.503
408,4.498
409,4.497
410,4.499
411,4.502
412,4.498
413,4.484
414,4.483
415,4.483
416,4.477
417,4.47
418,4.473
419,4.472
420,4.469
421,4.474
422,4.474
423,4.472
424,4.466
425,4.466
426,4.466
427,4.46
428,4.457
429,4.448
430,4.439
431,4.439
432,4.4350000000000005
433,4.4350000000000005
434,4.433
435,4.438
436,4.439
437,4.437
438,4.437
439,4.439
440,4.439
441,4.442
442,4.44
443,4.441
444,4.442
445,4.437
446,4.437
447,4.438
448,4.438
449,4.438
450,4.438
451,4.445
452,4.445
453,4.445
454,4.444
455,4.444
456,4.444
457,4.449
458,4.457
459,4.457
460,4.457
461,4.457
462,4.458
463,4.458
464,4.458
465,4.457
466,4.451
467,4.451
468,4.451
469,4.451
470,4.451
471,4.451
472,4.451
473,4.451
474,4.446
475,4.444
476,4.444
477,4.444
478,4.444
479,4.444
480,4.447
481,4.447
482,4.447
483,4.45
484,4.45
485,4.445
486,4.445
487,4.448
488,4.442
489,4.44
490,4.442
491,4.442
492,4.442
493,4.442
494,4.442
495,4.44
496,4.44
497,4.439
498,4.439
499,4.439
500,4.439
501,4.439
502,4.439
503,4.439
504,4.439
505,4.439
506,4.439
507,4.439
508,4.441
509,4.441
510,4.439
511,4.439
512,4.439
513,4.442
514,4.439
515,4.439
516,4.439
517,4.439
518,4.437
519,4.432
520,4.432
521,4.432
