row,values
1,0.7290179099
2,3.6821503902000003
3,5.966445519900001
4,8.1806423801
5,10.425427259900001
6,12.7346015199
7,15.0803586699
8,17.4635453301
9,19.8925208502
10,22.36249257
11,24.867603269900002
12,27.457874559900002
13,30.073360069800003
14,32.7253628699
15,35.4002803898
16,38.08669556
17,40.8049849499
18,43.55573001010001
19,46.315236140100005
20,49.076000560000004
21,51.842055550000005
22,54.6217096099
23,57.4006144299
24,60.185183050000006
25,62.978766839900004
26,65.7741002498
27,68.57513595990001
28,71.37726900000001
29,74.18202449990001
30,76.9946046197
31,79.80810956980001
32,82.6217556001
33,85.43979141
34,88.2611956801
35,91.0880272899
36,93.9170014699
37,96.7390951099
38,99.54801513000001
39,102.3420162301
40,105.13771845980001
41,107.93820314020002
42,110.7318198101
43,113.5394651401
44,116.34147493990001
45,119.14457708980001
46,121.95204575020001
47,124.7619361098
48,127.57375630000001
49,130.3852221699
50,133.19162214
51,136.0024600401
52,138.80865049000002
53,141.62012578000002
54,144.42823592000002
55,147.24268121010002
56,150.05556328990002
57,152.8720503099
58,155.68199699000002
59,158.49554147010002
60,161.2850564102
61,164.07860645990002
62,166.87004555000001
63,169.6555507099
64,172.44101293990002
65,175.2294781601
66,178.02260546990001
67,180.81279324000002
68,183.6144920799
69,186.41335543990002
70,189.2330244
71,192.05389667010002
72,194.87627526010002
73,197.69470145990002
74,200.51821844
75,203.33945386000002
76,206.1694925399
77,208.9858670501
78,211.8069033499
79,214.62899831010003
80,217.4486221898
81,220.26974955010002
82,223.08898140980003
83,225.91659190000001
84,228.73587415000003
85,231.5644119901
86,234.38831239010003
87,237.21248756
88,240.0369943201
89,242.86854862
90,245.6930894602
91,248.5209504601
92,251.35436350010002
93,254.1713715401
94,256.98461517000004
95,259.7985443698
96,262.6114080398
97,265.42830792970005
98,268.2427289798
99,271.05065785
100,273.86760264000003
101,276.6792688301
102,279.49064514990005
103,282.30400660000004
104,285.1220620302
105,287.9356206499
106,290.74478221000004
107,293.55483991
108,296.3638526596
109,299.1726624697
110,301.97892995
111,304.79210092980003
112,307.6032446102
113,310.4151424597
114,313.23109930000004
115,316.03594382
116,318.8351508801
117,321.6449358898
118,324.4552244499
119,327.26863470020004
120,330.07592323
121,332.88246336000003
122,335.68136683980003
123,338.4870706601
124,341.28889719010004
125,344.09390693970005
126,346.90147124000003
127,349.70656227
128,352.50799544
129,355.3136392001
130,358.12211790000003
131,360.9267775101
132,363.73504056980005
133,366.5459063901
134,369.35161214000004
135,372.15933903990003
136,374.97334733
137,377.78183421980003
138,380.58900178010003
