row,values
1,4.6
2,13.3
3,27.3
4,48.4
5,68.4
6,84.0
7,88.3
8,92.3
9,95.3
10,96.4
11,97.7
12,97.5
13,97.9
14,97.3
15,97.4
16,97.8
17,98.2
18,98.7
19,98.4
20,98.6
21,98.8
22,98.3
23,98.2
24,98.3
25,98.2
26,98.4
27,98.0
28,98.3
29,98.9
30,98.3
31,98.0
32,97.2
33,96.4
34,97.2
35,97.8
36,97.6
37,97.4
38,97.0
39,96.9
40,96.7
41,96.4
42,96.6
43,96.5
44,96.9
45,97.0
46,96.7
47,96.6
48,96.1
49,96.0
50,95.9
51,95.9
52,96.1
53,96.3
54,96.8
55,97.3
56,97.3
57,97.2
58,97.1
59,96.6
60,96.6
61,96.7
62,96.6
63,96.6
64,96.5
65,96.5
66,96.6
67,96.6
68,96.6
69,96.2
70,95.9
71,95.9
72,96.0
73,95.8
74,95.6
75,95.5
76,95.2
77,95.2
78,95.4
79,95.6
80,95.4
81,95.2
82,95.0
83,94.7
84,94.9
85,94.7
86,94.6
87,94.5
88,94.5
89,94.5
90,94.5
91,94.6
92,94.8
93,94.8
94,95.1
95,95.1
96,94.9
97,94.7
98,94.4
99,94.5
100,94.5
101,94.6
102,94.7
103,94.6
104,94.5
105,94.3
106,94.2
107,93.8
108,93.4
109,93.4
110,93.5
111,93.3
112,93.2
113,93.5
114,93.6
115,93.8
116,93.8
117,93.9
118,94.2
119,94.1
120,94.2
121,94.0
122,93.9
123,93.6
124,93.6
125,93.6
126,93.7
127,93.4
128,93.5
129,93.5
130,94.0
131,94.1
132,94.2
133,94.3
134,94.2
135,94.1
136,94.1
137,94.0
138,93.8
139,94.0
140,93.9
141,94.0
142,94.0
143,94.2
144,94.4
145,94.4
146,94.3
147,94.3
148,94.5
149,94.4
150,94.3
151,94.2
152,94.0
153,94.0
154,93.9
155,94.2
156,94.4
157,94.1
158,94.2
159,94.4
160,94.5
161,94.4
162,94.5
163,94.5
164,94.6
165,94.5
166,94.6
167,94.5
168,94.5
169,94.5
170,94.5
171,94.5
172,94.7
173,94.8
174,94.9
175,94.9
176,94.8
177,94.7
178,94.8
179,94.8
180,94.7
181,94.4
182,94.3
183,94.2
184,94.1
185,94.2
186,94.3
187,94.6
188,94.5
189,94.6
190,94.5
191,94.5
192,94.5
193,94.6
194,94.5
195,94.2
196,93.9
197,93.8
198,93.8
199,93.8
200,93.7
201,93.8
202,93.7
203,93.7
204,93.7
205,93.9
206,93.9
207,93.8
208,93.7
209,93.8
210,93.8
211,93.8
212,93.8
213,93.9
214,93.9
215,93.9
216,93.7
217,93.4
218,93.3
219,93.3
220,93.3
221,93.3
222,93.3
223,93.2
224,93.4
225,93.3
226,93.3
227,93.3
228,93.3
229,93.3
230,93.3
231,93.3
232,93.1
233,93.2
234,93.1
235,93.2
236,93.3
237,93.3
238,93.3
239,93.4
240,93.5
241,93.6
242,93.5
243,93.6
244,93.6
245,93.5
246,93.4
247,93.5
248,93.5
249,93.5
250,93.5
251,93.6
252,93.6
253,93.6
254,93.5
255,93.5
256,93.6
257,93.7
258,93.7
259,93.8
260,93.8
261,93.8
262,93.9
263,93.9
264,94.0
265,93.9
266,93.8
267,93.8
268,93.8
269,93.8
270,93.8
271,93.8
272,93.8
273,93.8
274,93.8
275,93.8
276,93.8
277,93.8
278,93.8
279,93.8
280,93.8
281,93.8
282,93.9
283,93.9
284,93.8
285,93.8
286,93.8
287,93.8
288,93.8
289,93.7
290,93.7
291,93.7
292,93.7
293,93.7
294,93.7
295,93.7
296,93.7
297,93.7
298,93.8
299,93.8
300,93.7
301,93.7
302,93.8
303,93.7
304,93.7
305,93.6
306,93.6
307,93.6
308,93.6
309,93.6
310,93.5
311,93.3
312,93.3
313,93.3
314,93.3
315,93.3
316,93.3
317,93.3
318,93.3
319,93.4
320,93.4
321,93.4
322,93.4
323,93.4
324,93.4
325,93.4
326,93.4
327,93.4
328,93.4
329,93.4
330,93.4
331,93.4
332,93.4
333,93.4
334,93.4
335,93.3
336,93.3
337,93.2
338,93.2
339,93.2
340,93.2
341,93.2
342,93.2
343,93.2
344,93.2
345,93.2
346,93.2
347,93.2
348,93.2
349,93.1
350,93.1
351,93.1
352,93.1
353,93.1
354,93.1
355,93.1
356,93.1
357,93.1
358,93.1
