row,values
1,4.0
2,11.5
3,20.0
4,35.5
5,54.5
6,77.5
7,86.0
8,91.0
9,92.5
10,96.5
11,96.0
12,97.5
13,98.5
14,98.0
15,98.5
16,98.0
17,98.5
18,98.0
19,98.5
20,100.0
21,98.5
22,99.0
23,99.0
24,99.0
25,99.0
26,98.0
27,97.5
28,99.0
29,99.0
30,99.5
31,99.5
32,99.5
33,98.5
34,98.0
35,97.5
36,98.5
37,98.0
38,97.5
39,97.5
40,98.0
41,97.5
42,98.0
43,98.0
44,98.0
45,98.5
46,99.0
47,99.0
48,99.0
49,99.0
50,99.0
51,99.0
52,99.0
53,99.0
54,98.5
55,97.0
56,97.0
57,97.5
58,97.0
59,96.5
60,96.0
61,96.0
62,96.0
63,96.0
64,95.5
65,96.5
66,96.5
67,97.0
68,97.0
69,97.0
70,97.5
71,97.5
72,97.5
73,97.5
74,98.0
75,97.5
76,96.5
77,96.5
78,97.0
79,98.0
80,98.5
81,98.5
82,98.5
83,98.0
84,98.5
85,98.0
86,98.5
87,98.0
88,98.0
89,98.0
90,98.0
91,98.0
92,97.5
93,97.5
94,97.5
95,97.5
96,98.0
97,98.0
98,97.5
99,97.5
100,97.5
101,97.0
102,97.0
103,97.0
104,97.0
105,97.0
106,96.5
107,96.5
108,96.5
109,97.0
110,96.5
111,97.0
112,97.0
113,97.0
114,97.0
115,97.0
116,97.0
117,97.0
118,96.5
119,96.5
120,96.5
121,96.5
122,96.5
123,96.5
124,97.0
125,98.0
126,97.5
127,97.5
128,98.0
129,97.0
130,96.5
131,96.5
132,96.5
133,96.0
134,95.5
135,96.5
136,97.0
137,97.0
138,96.5
139,96.5
140,97.5
141,97.5
142,97.0
143,97.5
144,97.0
145,97.5
146,97.5
147,96.5
148,97.0
149,97.0
150,97.0
151,97.0
152,96.5
153,96.0
154,96.0
155,96.0
156,96.0
157,95.5
158,95.5
159,95.5
160,95.5
161,95.5
162,95.5
163,95.5
164,95.5
165,95.5
166,95.5
167,95.5
168,95.0
169,95.5
170,95.0
171,96.5
172,96.0
173,96.5
174,96.5
175,96.0
176,96.0
177,96.0
178,96.0
179,96.0
180,96.0
181,96.0
182,95.5
183,94.5
184,95.0
185,95.0
186,95.5
187,95.5
188,96.0
189,96.0
190,96.0
191,96.0
192,96.0
193,96.0
194,96.0
195,95.5
196,96.0
197,96.5
198,96.5
199,96.5
200,96.0
201,95.5
202,95.5
203,96.0
204,95.5
205,95.5
206,95.5
207,95.5
208,95.5
209,95.0
210,95.0
211,95.5
212,95.5
213,95.5
214,95.5
215,95.0
216,95.5
217,95.5
218,95.5
219,95.5
220,95.5
221,95.5
222,94.5
223,94.0
224,94.0
225,94.0
226,94.0
227,94.0
228,94.0
229,94.0
230,94.0
