row,values
1,4.7
2,10.2
3,19.3
4,31.4
5,45.4
6,55.7
7,62.3
8,68.2
9,71.5
10,74.3
11,77.9
12,80.6
13,81.7
14,83.2
15,82.2
16,81.6
17,82.6
18,82.4
19,85.2
20,84.8
21,83.8
22,86.1
23,86.7
24,86.4
25,84.3
26,84.7
27,85.6
28,81.9
29,77.9
30,72.3
31,69.0
32,67.2
33,63.8
34,57.7
35,54.3
36,55.7
37,51.7
38,52.7
39,52.9
40,53.0
41,54.4
42,51.6
43,51.1
44,51.3
45,52.6
46,51.9
47,55.9
48,48.4
49,50.4
50,51.2
51,50.0
52,50.8
53,51.0
54,49.2
55,47.1
56,48.4
57,48.0
58,49.2
59,48.6
60,47.2
61,45.2
62,42.2
63,42.0
64,43.6
65,45.4
66,45.1
67,45.6
68,45.0
69,47.2
70,46.9
71,46.4
72,46.2
73,41.9
74,42.7
75,42.3
76,41.7
77,39.3
78,39.6
79,37.0
80,41.1
81,37.6
82,38.6
83,40.4
84,43.8
85,40.8
86,41.6
87,44.0
88,47.0
89,46.8
90,43.6
91,38.0
92,39.8
93,37.0
94,34.9
95,38.0
96,37.1
97,39.7
98,37.6
99,38.4
100,38.2
101,35.8
102,33.4
103,33.8
104,37.5
105,38.9
106,40.5
107,36.8
108,33.0
109,37.5
110,38.7
111,39.9
112,41.2
113,43.8
114,40.4
115,39.8
116,39.4
117,40.2
118,40.5
119,42.3
120,40.8
121,39.5
122,38.1
123,40.4
124,41.8
125,40.3
126,39.7
127,41.2
128,44.7
129,43.2
130,39.8
131,42.9
132,44.2
133,43.9
134,41.4
135,43.0
136,42.3
137,43.5
138,44.3
139,45.9
140,47.4
141,47.7
142,47.9
143,45.2
144,46.2
145,46.6
146,46.3
147,46.8
148,47.8
149,48.2
150,49.5
151,50.9
152,51.3
153,50.4
154,52.0
155,51.4
156,51.8
157,52.0
158,53.1
159,53.2
160,52.6
161,52.4
162,51.6
163,51.2
164,50.6
165,52.2
166,51.9
167,52.5
168,53.0
169,52.9
170,52.8
171,51.6
172,52.7
173,50.0
174,50.8
175,51.0
176,53.1
177,53.5
178,55.2
179,52.5
180,52.4
181,52.4
