row,values
100,0.616666666666667
200,0.738888888888889
300,0.625
400,0.658333333333333
500,0.694444444444444
600,0.680555555555556
700,0.595
800,0.632380952380952
900,0.493518518518518
1000,0.395899470899471
1100,0.362936507936508
1200,0.159378306878307
1300,0.066740740740741
1400,0.071691609977324
1500,-0.055198412698413
1600,-0.103981481481482
1700,-0.270132275132275
1800,-0.366577380952381
1900,-0.386001984126984
2000,-0.637361111111111
2100,-0.721521164021164
2200,-0.854077380952381
2300,-1.39160383597884
2400,-1.68239748677249
2500,-1.75625992063492
2600,-1.93231812169312
2700,-2.22782407407407
2800,-2.76045138888889
2900,-2.48541005291005
3000,-2.88675925925926
3100,-3.40731150793651
3200,-3.97497685185185
3300,-4.12882760141093
3400,-4.39053615520282
3500,-4.25237764550265
3600,-4.5361832010582
3700,-5.28300815696649
3800,-5.79641975308642
3900,-6.00063271604938
4000,-6.32999228395062
4100,-6.5878549382716
4200,-6.93686287477954
4300,-7.50223214285714
4400,-7.96973985890653
4500,-8.65419392336059
4600,-9.28477703623537
4700,-9.52535904681738
4800,-10.2312484968735
4900,-10.6569008337342
5000,-10.9614897787398
5100,-11.6426504930255
5200,-12.5144981561648
5300,-13.1450611071028
5400,-13.8401696328363
5500,-14.3362875581209
5600,-15.0074795173962
5700,-15.5526227352894
5800,-15.8159867324034
5900,-16.3449090708674
6000,-17.2541813371813
6100,-18.3671086660253
6200,-18.2966724386724
6300,-19.0532019801186
6400,-19.510292287959
6500,-21.08244997595
6600,-21.7911470658971
6700,-23.1154428010261
6800,-23.1366941037358
6900,-23.8015964005131
7000,-25.0712673160173
7100,-26.1422896424563
7200,-27.0180281786115
7300,-27.8656124539041
7400,-28.642376022126
7500,-30.0321480479397
7600,-30.6478876863877
7700,-31.7501099086099
7800,-32.7415682419432
7900,-33.5761084856502
8000,-34.5120184784351
8100,-35.8284801186468
8200,-37.148724025974
8300,-37.3589490941158
8400,-38.2992465127465
8500,-39.1629543851211
8600,-40.1517885602052
8700,-41.5374910614077
8800,-42.5933757615841
8900,-43.9333320306237
9000,-44.4153373015873
9100,-45.2215421075838
9200,-47.0388592873176
9300,-47.8074886363636
9400,-48.9815860790444
9500,-50.1465996272246
9600,-51.4621085858586
9700,-52.8906851851852
9800,-54.3011921596922
9900,-55.8935248917749
10000,-57.5885632515633
10100,-58.7768690275774
10200,-60.02897671156
10300,-61.6743272406606
10400,-62.8856469055636
10500,-63.6982240660574
10600,-65.2683832371332
10700,-65.9140922318422
10800,-67.8243917348084
10900,-69.5996465047298
11000,-70.5734894781145
11100,-71.5864966129549
11200,-74.1295315656566
11300,-76.8169225388809
11400,-78.5556578082412
11500,-80.1365600849768
11600,-82.0885805475389
11700,-83.6845369969537
11800,-85.2221396905564
11900,-86.0053771845439
12000,-87.3056565055315
12100,-89.4072023208273
12200,-91.5258297859548
12300,-93.3600598244348
12400,-96.150855679814
12500,-98.2448527938111
12600,-101.142374519
12700,-103.036792989418
12800,-103.521798300465
12900,-104.999320286195
13000,-106.118039902998
13100,-108.062063712522
13200,-111.298211540003
13300,-112.145604497355
13400,-114.418730739939
13500,-116.305014911015
13600,-117.14672290364
13700,-118.343381353215
13800,-120.770533128908
13900,-123.945538860831
14000,-125.343819284111
14100,-127.191428511304
14200,-128.285012926888
14300,-131.188522065897
14400,-130.741714726631
14500,-133.763705908289
14600,-136.40563985089
14700,-141.435386083053
14800,-143.411081188873
14900,-146.315955968414
15000,-149.135020342312
15100,-151.830318362193
15200,-154.18630513468
15300,-156.123080367164
15400,-158.719347202181
15500,-160.751003968254
15600,-163.39031487494
15700,-165.258532287157
15800,-167.710654140612
15900,-169.522278198653
16000,-171.685214426006
16100,-175.899697029822
16200,-178.474887506013
16300,-179.034427469136
16400,-179.020890031265
16500,-174.247868987494
16600,-170.600521544813
16700,-168.332879890172
16800,-165.731292187751
16900,-163.905523388648
17000,-161.892734281591
17100,-159.76832480989
17200,-157.747079425204
17300,-155.170290484207
17400,-153.388092291967
17500,-151.954891829291
17600,-150.287912477954
17700,-148.803130010422
17800,-146.557709555876
17900,-145.005738295655
18000,-143.456917468334
18100,-142.025943041526
18200,-140.352899931858
18300,-138.595730699856
18400,-137.236692580568
18500,-135.827557158891
18600,-134.269985970819
18700,-132.616029721821
18800,-130.918572490781
18900,-129.628682178932
