row,values
100,0.783333333333333
200,0.85
300,0.905555555555556
400,0.933333333333333
500,0.888888888888889
600,0.933333333333333
700,0.969444444444444
800,1.01407407407407
900,1.13027777777778
1000,1.10060185185185
1100,1.09411772486773
1200,1.12425661375661
1300,1.06163756613757
1400,0.999111111111111
1500,1.02716666666667
1600,1.04505511463845
1700,0.920491622574956
1800,0.91488315696649
1900,0.884135802469136
2000,0.868876543209876
2100,0.731794312169312
2200,0.657077681577682
2300,0.611553571428571
2400,0.5929037999038
2500,0.511842592592593
2600,0.398856301106301
2700,0.285953514739229
2800,0.221073318216175
2900,0.002177815570673
3000,-0.097228835978836
3100,-0.185290013227513
3200,-0.318599750337845
3300,-0.447879937412676
3400,-0.628024060044893
3500,-0.716881794131794
3600,-0.805476150392817
3700,-0.933722462722463
3800,-1.23266414141414
3900,-1.44362666346
4000,-1.63038812730479
4100,-1.85628804914222
4200,-2.10264034191117
4300,-2.39397367524451
4400,-2.67248623422433
4500,-2.86438611597838
4600,-3.05980922700169
4700,-3.44536621887812
4800,-3.56575283160402
4900,-3.77684124341267
5000,-3.89921784674761
5100,-4.21438908060634
5200,-4.64719662744663
5300,-5.01699268170102
5400,-5.36089601778292
5500,-5.61410902677569
5600,-6.01957626786794
5700,-6.17645498945499
5800,-6.56906070957261
5900,-6.93057847113204
6000,-7.3110813615397
6100,-7.77792653477475
6200,-8.25086407750098
6300,-8.73893919065943
6400,-8.97129214557488
6500,-9.25839971778662
6600,-9.70587549355406
6700,-10.2156089712756
6800,-10.6605574595158
6900,-11.2150800794223
7000,-11.6622037980758
7100,-12.1125505439226
7200,-12.6912106444041
7300,-13.0694912173365
7400,-13.3186260836826
7500,-14.0353871953664
7600,-14.6919120041114
7700,-15.2408902145033
7800,-15.7832239186078
7900,-16.3480397254862
8000,-17.1585104417188
8100,-17.6442387966971
8200,-18.2123798100048
8300,-18.8393646184063
8400,-19.3694768905037
8500,-20.0811518129137
8600,-20.6690628464349
8700,-21.2308351313589
8800,-22.0538348021027
8900,-22.7174342675622
9000,-23.4277186004031
9100,-23.8344506069327
9200,-24.5607101221089
9300,-25.358203909186
9400,-26.2129873859606
9500,-27.1161290305814
9600,-27.9196998958833
9700,-28.6648524969299
9800,-29.6559063181087
9900,-30.4960208213303
10000,-31.1802168355234
10100,-32.2750877999866
10200,-33.2277506990364
10300,-34.028208640786
10400,-35.0301220203591
10500,-36.0062973568539
10600,-36.9805223633289
10700,-37.8295124511732
10800,-39.0056113970906
10900,-40.0369294593193
11000,-41.2356489431184
11100,-42.7258037136124
11200,-43.6910615179574
11300,-44.6586184643379
11400,-45.6470742074284
11500,-46.6979419076294
11600,-47.4094738306961
11700,-48.8855605192133
11800,-50.0700067026595
11900,-51.207168230946
12000,-52.260892517462
12100,-53.6824613329058
12200,-54.862133577328
12300,-56.0969744252661
12400,-57.3802766131576
12500,-58.4208860784277
12600,-59.4422299274799
12700,-60.7675421815838
12800,-62.1616252105478
12900,-63.4138283236825
13000,-64.9143186026936
13100,-66.3077233830984
13200,-67.9656392108773
13300,-69.306437982432
13400,-70.3181858963347
13500,-71.4416776237431
13600,-72.5373161025482
13700,-73.9334040519327
13800,-75.2916791549161
13900,-76.6216419242896
14000,-78.7181817401836
14100,-79.870157144409
14200,-81.1656902449064
14300,-82.5804817466145
14400,-84.0686054626252
14500,-86.3072514676343
14600,-87.8050601748001
14700,-89.4433718824928
14800,-90.952096116592
14900,-92.8459882275675
15000,-94.2180987761899
15100,-95.9987892832137
15200,-97.6665256194084
15300,-99.8067326705143
15400,-101.582096767176
15500,-103.072365552403
15600,-105.153947688961
15700,-106.968590242836
15800,-109.484474126149
15900,-111.403210077367
16000,-108.888417812423
16100,-107.417349213253
16200,-105.349190329258
16300,-104.15773283026
16400,-102.315134225529
16500,-101.050952508877
16600,-99.2847542875657
16700,-97.9208051881642
16800,-96.4219053045381
16900,-95.1762475625887
17000,-93.5790629640082
17100,-92.4887749819286
17200,-90.9737386049458
17300,-89.6095371375419
17400,-88.2930146632129
17500,-86.9084803369792
17600,-85.8406412138347
17700,-84.5807048783109
17800,-83.3925789959261
17900,-82.3119428073792
18000,-80.883390847985
18100,-79.8591341373235
18200,-78.7772057274397
18300,-77.5831868156857
18400,-76.5278889006378
18500,-75.2952135670795
18600,-74.4534042798793
18700,-73.2346548044503
18800,-72.2195799256621
18900,-71.3131260629702
19000,-70.2120308310517
19100,-69.2165821185889
19200,-68.1331655795403
19300,-67.0940479099791
19400,-66.3037025835683
19500,-65.7441445272467
19600,-64.9671276676333
19700,-63.8995854051118
19800,-62.9780682183043
19900,-62.2643140292948
20000,-61.3303476662956
20100,-60.2672051531621
20200,-59.3903602584551
20300,-58.2378637091491
20400,-57.6730687346681
20500,-56.909527584552
20600,-56.1504875935686
20700,-55.3895145218321
20800,-54.4527723195066
20900,-53.7456110405581
21000,-53.0329750904276
21100,-52.1729535971451
21200,-51.4172609989584
21300,-50.8941980228032
21400,-50.0009955507422
21500,-49.2833135190794
21600,-48.7022155595078
21700,-47.981604407102
21800,-47.321270377943
21900,-46.6707093227257
22000,-46.0221683806378
22100,-45.3179214159849
22200,-44.6454499836215
22300,-43.9533887848348
22400,-43.4479269535212
22500,-42.9403610076725
22600,-42.2149030030082
22700,-41.8089830171298
22800,-40.9669977538995
22900,-40.536265736615
23000,-39.9745771947409
23100,-39.4066702128706
23200,-38.8890245736068
23300,-38.2291818624525
23400,-37.8468679650404
23500,-37.2763478055996
23600,-36.7299144884262
23700,-36.3563840999801
23800,-35.7856815366693
23900,-35.2821769306362
24000,-34.709160064088
24100,-34.2253267658997
24200,-33.6647108763145
24300,-33.3500432275685
24400,-32.9480448907913
24500,-32.3774138590512
24600,-32.0535604813985
24700,-31.5457810603762
24800,-31.0112015389546
24900,-30.5193607408369
25000,-30.1555005248477
25100,-29.8754102090788
25200,-29.3780638089294
25300,-29.0644444847645
25400,-28.6632962339486
25500,-28.3014580031758
25600,-28.1039039399184
25700,-27.8010330000117
25800,-27.3888296579624
25900,-26.9413786132863
26000,-26.7035128932541
26100,-26.4725266831213
26200,-26.0465075830175
26300,-25.8157747119339
26400,-25.3585972628703
