row,values
100,0.6
200,0.666666666666667
300,0.752777777777778
400,0.780555555555556
500,0.780555555555556
600,0.856111111111111
700,0.87
800,0.869444444444444
900,0.797222222222222
1000,0.794444444444444
1100,0.838888888888889
1200,0.770555555555555
1300,0.804722222222222
1400,0.843796296296296
1500,0.759305555555556
1600,0.713194444444444
1700,0.54912037037037
1800,0.458564814814815
1900,0.327695105820106
2000,0.158551587301587
2100,0.029778439153439
2200,-0.096934523809524
2300,-0.25539417989418
2400,-0.441964947089947
2500,-0.5966541005291
2600,-0.777205687830688
2700,-1.0141832010582
2800,-1.33515211640212
2900,-1.61579034391534
3000,-1.86555114638448
3100,-2.21101410934744
3200,-2.60054453262787
3300,-3.03386574074074
3400,-3.45170965608466
3500,-3.92721494708995
3600,-4.35275198412698
3700,-5.01594907407407
3800,-5.92308399470899
3900,-6.52927579365079
4000,-7.09666732804233
4100,-7.82444113756614
4200,-8.57236441798942
4300,-8.9164914021164
4400,-8.93959986772487
4500,-9.41754761904762
4600,-9.71505753968254
4700,-9.8047962962963
4800,-10.7815291005291
4900,-11.7779312169312
5000,-12.5703888888889
5100,-14.1607552910053
5200,-14.9925013227513
5300,-15.6657275132275
5400,-16.1086428571429
5500,-16.2679021164021
5600,-17.0928253968254
5700,-17.901003968254
5800,-18.2350476190476
5900,-19.4633121693122
6000,-19.6993739606954
6100,-20.5984407596372
6200,-20.753037037037
6300,-21.6802248677249
6400,-21.965303760393
6500,-22.8330220143613
6600,-22.8541463529856
6700,-24.690184712774
6800,-25.6970828609221
6900,-26.7004184618292
7000,-28.0785361866969
7100,-27.3433430650038
7200,-28.3271367157974
7300,-29.4251234567901
7400,-30.535358276644
7500,-31.1906552343159
7600,-31.4823990614764
7700,-32.444233276644
7800,-33.0384925359033
7900,-34.4194537037037
8000,-35.3066297241119
8100,-36.3632566137566
8200,-36.7062579365079
8300,-37.6898029100529
8400,-38.5020291005291
8500,-40.0263227513228
8600,-40.1388875661376
8700,-41.4144047619048
8800,-41.4512797619048
8900,-43.1357936507937
9000,-44.1335097001764
9100,-44.0458655202822
9200,-45.0277843915344
9300,-46.052789021164
9400,-47.3368452380952
9500,-48.0355687830688
9600,-48.499630952381
9700,-50.0088921957672
9800,-51.5667546296296
9900,-51.7343404509952
10000,-53.445757558579
10100,-56.0209801587302
10200,-56.0185753968254
10300,-57.2732585978836
10400,-57.5057330876795
10500,-57.0042718253968
10600,-58.1318031934996
10700,-60.1886444633409
10800,-60.5932833522298
10900,-61.6753600718065
11000,-61.2473719765684
11100,-63.7366841458806
11200,-63.6432119236584
11300,-66.029177532124
11400,-67.4653428760393
11500,-67.811001606198
11600,-68.8350968442933
11700,-70.0387132464097
11800,-71.3060684051398
11900,-72.0548759448224
12000,-74.521841553288
12100,-74.4227000188964
12200,-76.4488852040816
12300,-76.3853150982615
12400,-77.7517833522298
12500,-78.151427532124
12600,-78.4324209183673
12700,-81.0707529289494
12800,-82.0251322751323
12900,-83.8323478835979
13000,-83.2248597883598
13100,-84.0779226190476
13200,-85.6556514550264
13300,-87.8229553099017
13400,-87.7144817649282
13500,-88.722578042328
13600,-89.491544973545
13700,-90.7817843915344
13800,-92.0689775132275
13900,-93.6701429516251
14000,-94.9473716931217
14100,-94.2524345238095
14200,-95.6419617346939
14300,-97.6572361111111
14400,-97.3884576719577
14500,-99.7619444444444
14600,-100.865202380952
14700,-100.611347883598
14800,-101.95910260771
14900,-103.1936925548
15000,-104.592375755858
15100,-105.714976946334
15200,-107.277788737717
15300,-108.33320143613
15400,-108.645027494331
15500,-110.434836640212
15600,-110.394628023432
15700,-110.675593915344
15800,-112.482007275132
15900,-114.174789021164
16000,-114.668227513228
16100,-116.08366468254
16200,-116.578174603175
